Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14984,PVHG-P-R1,cid:996,phenol,0,g/L,0.39068,20
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14984,PVHG-P-R1,cid:996,phenol,0,g/L,0.40487,24
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14984,PVHG-P-R1,cid:996,phenol,0,g/L,0.045,32
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14984,PVHG-P-R1,cid:996,phenol,0,g/L,0.00872,44
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14984,PVHG-P-R1,cid:996,phenol,0,g/L,0.00872,48
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14984,PVHG-P-R1,cid:996,phenol,0,g/L,0.00872,60
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.5,0
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.43044,8
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.42956,20
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.41112,24
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.00872,32
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.00872,44
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.00872,48
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14985,PVHG-P-R2,cid:996,phenol,0,g/L,0.00872,60
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.5,0
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.43764,8
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.41138,20
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.4141,24
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.00872,32
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.00872,44
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.00872,48
14409,Biodesign_Henson2018_reprocessed,14916,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R3,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,HPLC,14986,PVHG-P-R3,cid:996,phenol,0,g/L,0.00872,60
