,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
GLCDpp,18.5002863434684,21.150009219712103,13.9839222038517,22.233586206930102,22.175258813870602,32.5085258877371,16.1334362840398,25.187609185861806,24.773985770972,26.7619945292422,15.1996677260639,25.015284683338,31.558094691444996,28.6531569270051,20.090835855099602,23.4647486667313,16.7775865833,24.0639204846084,22.3440428596248,19.8349876820139,22.557258622562298,22.5436308054178,22.028106553913304,28.154502294166303
GLCNt2r,1.14327612234917,1.0245679206781,0.336961980815705,1.5539603262908102,0.9317335636080072,1.31918655776324,1.92638045182564,1.2972159237353702,0.861703852903374,1.14264695742832,1.10543038007738,0.8246797148353191,1.43742874370971,1.4290851335164698,2.30773114551819,1.18594397593588,0.5146498951932511,0.9994599562297428,1.72862222696238,1.7062354995280702,1.0253299373892,1.96031572221024,1.56721706707683,0.9976004749901428
GLCNt2rpp,19.539628272876726,15.00260169564356,16.005694088745976,12.55121802004118,11.18080276329608,9.14007829307389,17.3374240664308,13.945071180155258,9.909594308388805,18.101933378206507,18.3317204696165,16.14997774885833,6.664442357199571,7.43124269428563,7.05894232746741,7.28508442360612,7.308028511744162,7.226864298891982,19.27093667835834,18.12875218248583,16.23439067532894,7.596223423564689,7.052476801845749,4.988002374950714
GLCOAS,35.1297572140018,29.7124696996648,31.3374642158605,129.69591954042602,134.076459803192,93.5680179899214,29.6180994468193,27.7820410333326,31.021338704521494,28.746591876354604,27.7278787002742,24.2593282780723,42.4694856096051,51.7328818332961,27.5570248553055,13.2148043032855,15.954146750990803,13.9924393872164,35.084628902792,34.551268865443504,34.861217871232704,9.80157861105121,8.88089671343539,7.86995930270002
GLCP,977.189282029718,946.4080250149391,894.971021046512,1752.2695710074652,1831.322319271537,1672.5401000212541,2187.886598160973,2256.2908966837263,2202.5150480210264,977.564541736702,876.514172203018,1037.240911334123,1373.005800923448,1330.4782593038299,1311.0627884361588,1717.3315874391483,1624.955579083171,1636.8847636990358,823.272341352193,792.119830655909,896.82191856975,1381.532505227668,1536.046860964972,1439.3157964163352
GLCpts,85.22603821148361,78.08671224025203,83.22960926147903,62.39748387106186,66.43260308525088,46.26575713298228,163.5015408487019,135.77526668430247,144.55082132454106,71.44550449604438,77.28800740707638,67.34884337821772,24.174937962390587,31.4398729373623,20.226584746012367,34.47708558613592,44.36282096565827,40.59345052994652,77.46788498609169,73.79468535458923,76.72885698129156,12.497012729090303,16.62991443398194,13.633873158198625
GLCptspp,28.9976398304926,27.956067549930893,28.30480638851919,39.20761438641434,42.76657056960743,27.420234879221688,64.53374513615903,54.37496746990768,60.96554759291378,30.550771282820325,28.18847469197301,27.69549375655281,16.334417542155794,19.79282909920305,11.810153509416635,19.568075602942017,21.61529559811654,21.91123750195976,29.57864699468952,32.20519505359242,30.41812147587957,8.08630235411726,8.706761483760173,7.759114805478885
GLCRAL,7.58719608468086,7.83062625089688,6.4022776354983915,4.9009517983018,5.3108813125656384,5.93633950993459,10.354294928562801,11.6749433136184,13.0332707751635,7.51741419360737,7.0010590738233685,5.70403469427762,2.15614311556457,2.1436277002747,1.08599112730268,2.37188795187176,2.1615295598116497,3.5365506143514,6.65839672607731,5.54526537346624,5.81020297853878,2.94047358331536,1.91548752642724,0.9976004749901428
GLCRD,57.3716745033402,51.4479463026215,53.4084739592892,38.849008157270404,36.430782337073,29.7759251609418,42.861965053120606,42.4838215023335,43.623757553233304,61.04140325209178,50.66555908687961,53.39801153558691,19.47062571024973,17.64920139892832,10.85991127302679,17.78915963903824,18.630326205995722,17.29834539628401,51.9226898543144,50.9737855484012,54.000710035831005,7.841262888840969,9.577437632136201,9.08924877213241
GLCRD_1,29.7251791810784,25.6141980169524,28.9787303501506,21.7554445680714,17.4234176394697,14.8879625804709,15.8926387275616,14.7017804690009,16.0492342603253,30.73118922346689,26.806686716876307,25.496347850325304,10.6500402374856,10.2179587046427,6.51594676381607,7.36979470760154,7.41095849078282,8.22632425512173,25.6092181772204,27.7263268673312,25.6332484347299,2.4503946527628,4.353380741880089,3.99040189996057
GLCRt2r,40.7422036328068,39.95814890644577,43.131133544410226,97.7799651466066,74.16599166319732,125.04004015370163,130.03068049823122,104.10157787976405,100.81935078969484,39.15069312030721,44.309334401434796,44.532704601107206,119.24124805773774,118.89988310857046,132.8981642036657,129.4373139450019,116.5167362717525,123.01045615135294,42.57532521962892,46.281637924699034,47.165177119903,119.08918012427242,95.16490301749882,144.98460236523377
GLCRt2rpp,42.82088749162348,41.202267095840604,44.9844244388966,98.61671301460935,73.97964495047572,125.41695059877684,130.27147805470943,104.31778053371995,100.38849886324314,39.93250419644238,46.79655275660888,47.212913674321996,119.63327407874947,118.47115756851552,133.98415533096835,129.860865364979,116.82552620886845,123.16421922154214,44.23992440114825,48.62771173655014,49.21583699468139,119.82429852010125,96.47091724006285,145.31713585689715
GLCt2pp,61.1133054492102,153.026537295564,156.518840088895,14.344249165761399,14.814563661367302,13.5687760227076,163.74233840518,132.532226874964,98.7728041390493,118.895422886094,180.461509547631,136.69066273395399,7.90585809040341,6.50233735749992,7.601937891118751,111.13989260199101,141.322861220067,97.9470757105148,60.6938470800124,59.7182424834826,46.994288797004785,17.8878809651685,33.6951669421519,20.5062319859085
GLCURt2r,31.076323689309255,32.56662319298229,37.0658178897275,32.63316685210708,37.54886261340265,29.399014715866567,34.91564568933977,27.56583837937669,31.88304255742485,31.03188579121117,33.623507394020145,33.46825176040001,29.00992555486873,29.510608007115046,31.4937426917777,26.00605718659396,27.688164361396908,25.447788116311173,30.41094658544925,36.470783802412505,29.905456507184873,80.86302354117254,62.6886826830733,71.93807869651138
