Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours,Biomass Conc
14409,Biodesign_Henson2018_reprocessed,14894,b512abae062c4a119ff19704ed174046,WT-P-R3,R. Opacus wild type strain with 0.5 g/l PHE as carbon source,OD600,14977,WT-P-R3,,Optical Density,0,,0.50204,38,0.18475072
14409,Biodesign_Henson2018_reprocessed,14894,b512abae062c4a119ff19704ed174046,WT-P-R3,R. Opacus wild type strain with 0.5 g/l PHE as carbon source,OD600,14977,WT-P-R3,,Optical Density,0,,0.55261,43,0.20336048
14409,Biodesign_Henson2018_reprocessed,14894,b512abae062c4a119ff19704ed174046,WT-P-R3,R. Opacus wild type strain with 0.5 g/l PHE as carbon source,OD600,14977,WT-P-R3,,Optical Density,0,,0.55517,48,0.20430256
14409,Biodesign_Henson2018_reprocessed,14894,b512abae062c4a119ff19704ed174046,WT-P-R3,R. Opacus wild type strain with 0.5 g/l PHE as carbon source,OD600,14977,WT-P-R3,,Optical Density,0,,0.60158,52,0.22138144
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,0.05,0,0.0184
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,0.1104,9,0.0406272
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,0.28302,19,0.10415136
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,0.39223,24,0.14434064
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,0.5769,33,0.2122992
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,0.82713,44,0.30438384
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,0.96558,55,0.35533344
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,1.08902,70,0.40075936
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,1.06828,82,0.39312704
14409,Biodesign_Henson2018_reprocessed,14914,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R1,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14978,PVHG-P-R1,,Optical Density,0,,1.0424,100,0.3836032
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,0.05,0,0.0184
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,0.10823,14,0.03982864
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,0.2927,20,0.1077136
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,0.39381,24,0.14492208
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,0.59645,28,0.2194936
14409,Biodesign_Henson2018_reprocessed,14915,fc0b45fc047744a6ae185ec4e5937652,PVHG-P-R2,R. Opacus adaptively evolved strain6 with 0.5 g/l PHE  as carbon source,OD600,14979,PVHG-P-R2,,Optical Density,0,,0.82239,34,0.30263952
