Line Name,Measurement Type,Time,Value,Units
PVHG6-P-R2,"Pd630_LPD00089	",21,7.171025613,RPKM
PVHG6-P-R2,"Pd630_LPD00090	",21,33.86108727,RPKM
PVHG6-P-R2,"Pd630_LPD00091	",21,30.59915267,RPKM
PVHG6-P-R2,"Pd630_LPD00092	",21,4.407729942,RPKM
PVHG6-P-R2,"Pd630_LPD00093	",21,12.12210173,RPKM
PVHG6-P-R2,"Pd630_LPD00094	",21,14.82004246,RPKM
PVHG6-P-R2,"Pd630_LPD00095	",21,6.904137583,RPKM
PVHG6-P-R2,"Pd630_LPD00096	",21,1.601310129,RPKM
PVHG6-P-R2,"Pd630_LPD00097	",21,1.445098407,RPKM
PVHG6-P-R2,"Pd630_LPD00098	",21,1.394184145,RPKM
PVHG6-P-R2,"Pd630_LPD00099	",21,7.201906551,RPKM
PVHG6-P-R2,"Pd630_LPD00100	",21,26.14590283,RPKM
PVHG6-P-R2,"Pd630_LPD00101	",21,9.724662218,RPKM
PVHG6-P-R2,"Pd630_LPD00102	",21,40.09467055,RPKM
PVHG6-P-R2,"Pd630_LPD00103	",21,21.94303229,RPKM
PVHG6-P-R2,"Pd630_LPD00104	",21,8.271942603,RPKM
PVHG6-P-R2,"Pd630_LPD00105	",21,1.337700952,RPKM
PVHG6-P-R2,"Pd630_LPD00106	",21,0,RPKM
PVHG6-P-R2,"Pd630_LPD00107	",21,0.352514562,RPKM
PVHG6-P-R2,"Pd630_LPD00108	",21,0.054395649,RPKM
PVHG6-P-R2,"Pd630_LPD00109	",21,0.131959816,RPKM
PVHG6-P-R2,"Pd630_LPD00110	",21,0.112661345,RPKM
PVHG6-P-R2,"Pd630_LPD00111	",21,0,RPKM
PVHG6-P-R2,"Pd630_LPD00112	",21,0.192590002,RPKM
PVHG6-P-R2,"Pd630_LPD00113	",21,2.517387263,RPKM
PVHG6-P-R2,"Pd630_LPD00114	",21,0.467267546,RPKM
PVHG6-P-R2,"Pd630_LPD00115	",21,1.140132812,RPKM
PVHG6-P-R2,"Pd630_LPD00116	",21,8.965436057,RPKM
PVHG6-P-R2,"Pd630_LPD00117	",21,7.271255177,RPKM
PVHG6-P-R2,"Pd630_LPD00118	",21,10.23357094,RPKM
PVHG6-P-R2,"Pd630_LPD00119	",21,8.197383468,RPKM
PVHG6-P-R2,"Pd630_LPD00120	",21,14.25166015,RPKM
PVHG6-P-R2,"Pd630_LPD00121	",21,7.865303006,RPKM
PVHG6-P-R2,"Pd630_LPD00122	",21,16.73852702,RPKM
PVHG6-P-R2,"Pd630_LPD00123	",21,7.08157026,RPKM
PVHG6-P-R2,"Pd630_LPD00124	",21,0.843650072,RPKM
PVHG6-P-R2,"Pd630_LPD00125	",21,9.380839591,RPKM
PVHG6-P-R2,"Pd630_LPD00126	",21,1.522613264,RPKM
PVHG6-P-R2,"Pd630_LPD00127	",21,1.66038759,RPKM
PVHG6-P-R2,"Pd630_LPD00128	",21,0.330154289,RPKM
PVHG6-P-R2,"Pd630_LPD00129	",21,0.633407118,RPKM
PVHG6-P-R2,"Pd630_LPD00130	",21,1.940016565,RPKM
PVHG6-P-R2,"Pd630_LPD00131	",21,8.30193795,RPKM
PVHG6-P-R2,"Pd630_LPD00132	",21,0.887262889,RPKM
PVHG6-P-R2,"Pd630_LPD00133	",21,0.7185711,RPKM
PVHG6-P-R2,"Pd630_LPD00136	",21,3.187272237,RPKM
PVHG6-P-R2,"Pd630_LPD00137	",21,3.921091681,RPKM
PVHG6-P-R2,"Pd630_LPD00138	",21,2.763076967,RPKM
PVHG6-P-R2,"Pd630_LPD00139	",21,26.8266544,RPKM
PVHG6-P-R2,"Pd630_LPD00140	",21,8.969576317,RPKM
PVHG6-P-R2,"Pd630_LPD00141	",21,2.39811589,RPKM
PVHG6-P-R2,"Pd630_LPD00142	",21,37.6143523,RPKM
PVHG6-P-R2,"Pd630_LPD00143	",21,2.365420771,RPKM
PVHG6-P-R2,"Pd630_LPD00145	",21,3.750436881,RPKM
PVHG6-P-R2,"Pd630_LPD00146	",21,0.650265862,RPKM
PVHG6-P-R2,"Pd630_LPD00147	",21,0.410119716,RPKM
PVHG6-P-R2,"Pd630_LPD00148	",21,0.226216828,RPKM
PVHG6-P-R2,"Pd630_LPD00149	",21,1.720027949,RPKM
PVHG6-P-R2,"Pd630_LPD00150	",21,1.70364673,RPKM
PVHG6-P-R2,"Pd630_LPD00151	",21,6.017367618,RPKM
PVHG6-P-R2,"Pd630_LPD00152	",21,7.48349722,RPKM
PVHG6-P-R2,"Pd630_LPD00153	",21,2.82857377,RPKM
PVHG6-P-R2,"Pd630_LPD00157	",21,3.900454356,RPKM
PVHG6-P-R2,"Pd630_LPD00158	",21,3.746570451,RPKM
PVHG6-P-R2,"Pd630_LPD00160	",21,19.75176779,RPKM
PVHG6-P-R2,"Pd630_LPD00161	",21,52.73114255,RPKM
PVHG6-P-R2,"Pd630_LPD00162	",21,19.25712127,RPKM
PVHG6-P-R2,"Pd630_LPD00163	",21,28.00105914,RPKM
PVHG6-P-R2,"Pd630_LPD00164	",21,2.983643773,RPKM
PVHG6-P-R2,"Pd630_LPD00165	",21,41.26600102,RPKM
PVHG6-P-R2,"Pd630_LPD00166	",21,1.709096575,RPKM
PVHG6-P-R2,"Pd630_LPD00167	",21,1.515366395,RPKM
PVHG6-P-R2,"Pd630_LPD00168	",21,0.504483545,RPKM
PVHG6-P-R2,"Pd630_LPD00169	",21,5.614290361,RPKM
PVHG6-P-R2,"Pd630_LPD00170	",21,15.92832605,RPKM
PVHG6-P-R2,"Pd630_LPD00171	",21,5.320619788,RPKM
PVHG6-P-R2,"Pd630_LPD00172	",21,6.821307421,RPKM
PVHG6-P-R2,"Pd630_LPD00174	",21,86.47946157,RPKM
PVHG6-P-R2,"Pd630_LPD00175	",21,208.4047114,RPKM
PVHG6-P-R2,"Pd630_LPD00176	",21,146.260532,RPKM
PVHG6-P-R2,"Pd630_LPD00177	",21,15.18401175,RPKM
PVHG6-P-R2,"Pd630_LPD00178	",21,2.382630489,RPKM
PVHG6-P-R2,"Pd630_LPD00179	",21,0.234917475,RPKM
PVHG6-P-R2,"Pd630_LPD00180	",21,1.192607544,RPKM
PVHG6-P-R2,"Pd630_LPD00181	",21,1.274538712,RPKM
PVHG6-P-R2,"Pd630_LPD00182	",21,2.806480767,RPKM
PVHG6-P-R2,"Pd630_LPD00183	",21,0.93760922,RPKM
PVHG6-P-R2,"Pd630_LPD00184	",21,4.443724768,RPKM
PVHG6-P-R2,"Pd630_LPD00185	",21,53.29993078,RPKM
PVHG6-P-R2,"Pd630_LPD00186	",21,1.318658946,RPKM
PVHG6-P-R2,"Pd630_LPD00187	",21,4.010517428,RPKM
PVHG6-P-R2,"Pd630_LPD00188	",21,11.67217415,RPKM
PVHG6-P-R2,"Pd630_LPD00189	",21,50.53780194,RPKM
PVHG6-P-R2,"Pd630_LPD00190	",21,0.593819173,RPKM
PVHG6-P-R2,"Pd630_LPD00191	",21,3.866729497,RPKM
PVHG6-P-R2,"Pd630_LPD00192	",21,2.948619341,RPKM
PVHG6-P-R2,"Pd630_LPD00193	",21,2.503670026,RPKM
PVHG6-P-R2,"Pd630_LPD00194	",21,2.583382504,RPKM
PVHG6-P-R2,"Pd630_LPD00195	",21,53.98555134,RPKM
PVHG6-P-R2,"Pd630_LPD00196	",21,8.088780084,RPKM
PVHG6-P-R2,"Pd630_LPD00198	",21,3.592855499,RPKM
PVHG6-P-R2,"Pd630_LPD00200	",21,16.07454691,RPKM
PVHG6-P-R2,"Pd630_LPD00201	",21,18.88868928,RPKM
PVHG6-P-R2,"Pd630_LPD00202	",21,0.069182816,RPKM
PVHG6-P-R2,"Pd630_LPD00204	",21,2.500291254,RPKM
PVHG6-P-R2,"Pd630_LPD00205	",21,1.656156225,RPKM
PVHG6-P-R2,"Pd630_LPD00206	",21,0.581700414,RPKM
PVHG6-P-R2,"Pd630_LPD00207	",21,1.914016063,RPKM
PVHG6-P-R2,"Pd630_LPD00208	",21,1.776410897,RPKM
PVHG6-P-R2,"Pd630_LPD00209	",21,3.300384455,RPKM
PVHG6-P-R2,"Pd630_LPD00210	",21,5.144501712,RPKM
PVHG6-P-R2,"Pd630_LPD00211	",21,4.058419777,RPKM
PVHG6-P-R2,"Pd630_LPD00212	",21,0.866655009,RPKM
PVHG6-P-R2,"Pd630_LPD00213	",21,2.064307319,RPKM
PVHG6-P-R2,"Pd630_LPD00214	",21,3.409034985,RPKM
PVHG6-P-R2,"Pd630_LPD00215	",21,8.856123016,RPKM
PVHG6-P-R2,"Pd630_LPD00216	",21,65.52061938,RPKM
PVHG6-P-R2,"Pd630_LPD00217	",21,4.397655131,RPKM
PVHG6-P-R2,"Pd630_LPD00218	",21,9.337294579,RPKM
PVHG6-P-R2,"Pd630_LPD00220	",21,3.891597236,RPKM
PVHG6-P-R2,"Pd630_LPD00221	",21,7.556694218,RPKM
PVHG6-P-R2,"Pd630_LPD00222	",21,7.43836648,RPKM
PVHG6-P-R2,"Pd630_LPD00223	",21,6.622518656,RPKM
PVHG6-P-R2,"Pd630_LPD00224	",21,43.84082122,RPKM
PVHG6-P-R2,"Pd630_LPD00225	",21,1.987283287,RPKM
PVHG6-P-R2,"Pd630_LPD00226	",21,1.117777266,RPKM
PVHG6-P-R2,"Pd630_LPD00227	",21,14.0967508,RPKM
PVHG6-P-R2,"Pd630_LPD00228	",21,4.232635908,RPKM
PVHG6-P-R2,"Pd630_LPD00229	",21,52.10763241,RPKM
PVHG6-P-R2,"Pd630_LPD00230	",21,3.663825485,RPKM
PVHG6-P-R2,"Pd630_LPD00231	",21,0.469466452,RPKM
PVHG6-P-R2,"Pd630_LPD00232	",21,0.873187055,RPKM
PVHG6-P-R2,"Pd630_LPD00233	",21,12.62044603,RPKM
PVHG6-P-R2,"Pd630_LPD00234	",21,6.273458055,RPKM
PVHG6-P-R2,"Pd630_LPD00235	",21,147.1314248,RPKM
PVHG6-P-R2,"Pd630_LPD00236	",21,1.877464211,RPKM
PVHG6-P-R2,"Pd630_LPD00239	",21,1.425166015,RPKM
PVHG6-P-R2,"Pd630_LPD00240	",21,4.444384661,RPKM
PVHG6-P-R2,"Pd630_LPD00241	",21,15.12147978,RPKM
PVHG6-P-R2,"Pd630_LPD00242	",21,30.82485769,RPKM
PVHG6-P-R2,"Pd630_LPD00243	",21,5.914438961,RPKM
PVHG6-P-R2,"Pd630_LPD00244	",21,2.966408899,RPKM
PVHG6-P-R2,"Pd630_LPD00245	",21,3.228891752,RPKM
PVHG6-P-R2,"Pd630_LPD00246	",21,18.89300541,RPKM
PVHG6-P-R2,"Pd630_LPD00247	",21,41.13137359,RPKM
PVHG6-P-R2,"Pd630_LPD00248	",21,47.74306149,RPKM
PVHG6-P-R2,"Pd630_LPD00249	",21,68.0998247,RPKM
PVHG6-P-R2,"Pd630_LPD00250	",21,13.26569624,RPKM
PVHG6-P-R2,"Pd630_LPD00251	",21,36.4620396,RPKM
PVHG6-P-R2,"Pd630_LPD00252	",21,17.94032513,RPKM
PVHG6-P-R2,"Pd630_LPD00253	",21,9.537232646,RPKM
PVHG6-P-R2,"Pd630_LPD00254	",21,5.050422201,RPKM
PVHG6-P-R2,"Pd630_LPD00255	",21,2.464072082,RPKM
PVHG6-P-R2,"Pd630_LPD00256	",21,25.4249617,RPKM
PVHG6-P-R2,"Pd630_LPD00257	",21,2.533628471,RPKM
PVHG6-P-R2,"Pd630_LPD00258	",21,1.756507133,RPKM
PVHG6-P-R2,"Pd630_LPD00259	",21,53.47525577,RPKM
PVHG6-P-R2,"Pd630_LPD00260	",21,1.338184051,RPKM
PVHG6-P-R2,"Pd630_LPD00261	",21,2.324738889,RPKM
PVHG6-P-R2,"Pd630_LPD00262	",21,10.25073537,RPKM
PVHG6-P-R2,"Pd630_LPD00263	",21,3.694874853,RPKM
PVHG6-P-R2,"Pd630_LPD00264	",21,696.2118696,RPKM
PVHG6-P-R2,"Pd630_LPD00265	",21,156.980973,RPKM
PVHG6-P-R2,"Pd630_LPD00266	",21,5.248230403,RPKM
PVHG6-P-R2,"Pd630_LPD00267	",21,40.22135197,RPKM
PVHG6-P-R2,"Pd630_LPD00268	",21,4.640075397,RPKM
PVHG6-P-R2,"Pd630_LPD00269	",21,3.395379847,RPKM
PVHG6-P-R2,"Pd630_LPD00270	",21,11.92402511,RPKM
PVHG6-P-R2,"Pd630_LPD00271	",21,4.46552018,RPKM
PVHG6-P-R2,"Pd630_LPD00272	",21,2.838976125,RPKM
PVHG6-P-R2,"Pd630_LPD00273	",21,5.872543377,RPKM
PVHG6-P-R2,"Pd630_LPD00274	",21,1.583517794,RPKM
PVHG6-P-R2,"Pd630_LPD00275	",21,37.492829,RPKM
PVHG6-P-R2,"Pd630_LPD00276	",21,9.633803787,RPKM
PVHG6-P-R2,"Pd630_LPD00277	",21,3.187871349,RPKM
PVHG6-P-R2,"Pd630_LPD00278	",21,3.670882159,RPKM
PVHG6-P-R2,"Pd630_LPD00279	",21,10.38031366,RPKM
PVHG6-P-R2,"Pd630_LPD00280	",21,4.750553382,RPKM
PVHG6-P-R2,"Pd630_LPD00281	",21,3.87423771,RPKM
PVHG6-P-R2,"Pd630_LPD00282	",21,3.977207483,RPKM
PVHG6-P-R2,"Pd630_LPD00283	",21,4.321203077,RPKM
PVHG6-P-R2,"Pd630_LPD00284	",21,4.482718029,RPKM
PVHG6-P-R2,"Pd630_LPD00285	",21,2.027432824,RPKM
PVHG6-P-R2,"Pd630_LPD00286	",21,35.07119947,RPKM
PVHG6-P-R2,"Pd630_LPD00287	",21,19.32280302,RPKM
PVHG6-P-R2,"Pd630_LPD00288	",21,29.40106267,RPKM
PVHG6-P-R2,"Pd630_LPD00296	",21,2.617651864,RPKM
PVHG6-P-R2,"Pd630_LPD00297	",21,2.74730798,RPKM
PVHG6-P-R2,"Pd630_LPD00300	",21,77.89195636,RPKM
PVHG6-P-R2,"Pd630_LPD00301	",21,12.26802437,RPKM
PVHG6-P-R2,"Pd630_LPD00302	",21,19.41174399,RPKM
PVHG6-P-R2,"Pd630_LPD00303	",21,9.090987048,RPKM
PVHG6-P-R2,"Pd630_LPD00306	",21,29.93744962,RPKM
PVHG6-P-R2,"Pd630_LPD00308	",21,0.967178533,RPKM
PVHG6-P-R2,"Pd630_LPD00309	",21,2.835789519,RPKM
PVHG6-P-R2,"Pd630_LPD00310	",21,75.65457556,RPKM
PVHG6-P-R2,"Pd630_LPD00312	",21,2.375276691,RPKM
PVHG6-P-R2,"Pd630_LPD00313	",21,2.375276691,RPKM
PVHG6-P-R2,"Pd630_LPD00314	",21,1.687300144,RPKM
PVHG6-P-R2,"Pd630_LPD00315	",21,1.27389141,RPKM
PVHG6-P-R2,"Pd630_LPD00316	",21,5.59999008,RPKM
PVHG6-P-R2,"Pd630_LPD00317	",21,8.087447281,RPKM
PVHG6-P-R2,"Pd630_LPD00318	",21,66.15105051,RPKM
PVHG6-P-R2,"Pd630_LPD00319	",21,0.795777978,RPKM
PVHG6-P-R2,"Pd630_LPD00320	",21,0.863736979,RPKM
PVHG6-P-R2,"Pd630_LPD00321	",21,0.854322952,RPKM
PVHG6-P-R2,"Pd630_LPD00323	",21,0.323901367,RPKM
PVHG6-P-R2,"Pd630_LPD00324	",21,0.822211162,RPKM
PVHG6-P-R2,"Pd630_LPD00327	",21,3.368574217,RPKM
PVHG6-P-R2,"Pd630_LPD00328	",21,10.26732505,RPKM
PVHG6-P-R2,"Pd630_LPD00330	",21,0.770360008,RPKM
PVHG6-P-R2,"Pd630_LPD00331	",21,14.68352864,RPKM
PVHG6-P-R2,"Pd630_LPD00332	",21,13.37124871,RPKM
PVHG6-P-R2,"Pd630_LPD00333	",21,18.8738202,RPKM
PVHG6-P-R2,"Pd630_LPD00334	",21,2.967222617,RPKM
PVHG6-P-R2,"Pd630_LPD00337	",21,2.511786846,RPKM
PVHG6-P-R2,"Pd630_LPD00338	",21,13.81179409,RPKM
PVHG6-P-R2,"Pd630_LPD00339	",21,36.83013297,RPKM
PVHG6-P-R2,"Pd630_LPD00340	",21,6.946789117,RPKM
PVHG6-P-R2,"Pd630_LPD00341	",21,51.62018636,RPKM
PVHG6-P-R2,"Pd630_LPD00342	",21,5.993688847,RPKM
PVHG6-P-R2,"Pd630_LPD00343	",21,5.567054745,RPKM
PVHG6-P-R2,"Pd630_LPD00344	",21,25.44314787,RPKM
PVHG6-P-R2,"Pd630_LPD00345	",21,6.122935471,RPKM
