,fluxes
ACLS_a,7.216384155327292e-10
ACLS_d,-4.952507820166899e-08
ACLSb,5.095689118687966
ACM6PH,2.194481726103898e-08
ACMANApts,0.0
ACNAMt2pp,1.626196202842908e-08
ACNAMtex,1.6261957349768528e-08
ACNML,1.626195553068037e-08
ACOAD1,5.810335837599177e-08
ACOAD10f,-2.3163851026724654e-14
ACOAD14f,-6.87417395838759e-14
ACOAD15f,-3.567658603035649e-14
ACOAD16f,2.5852717674443833e-15
ACOAD17f,-3.323131811081603e-14
ACOAD18f,-1.813236630037873e-14
ACOAD1f,26.146119879173156
ACOAD1fr,27.111332654020842
ACOAD2,-43.772707872075465
ACOAD20,-1.958349684835168e-08
ACOAD22f,-7.784711484184804e-09
ACOAD23f,3.1849894931504845e-07
ACOAD26f,9.272031177461728e-07
ACOAD27f,9.272031373985006e-07
ACOAD28f,9.272030993901643e-07
ACOAD29f,-6.1948069653298866e-15
ACOAD2f,-44.73792075483218
ACOAD3,43.772707876069
ACOAD30f,-1.0165469921664492e-14
ACOAD31f,-8.30010637949219e-15
ACOAD32f,-2.9159972289383586e-15
ACOAD33f,4.896724691752977e-15
ACOAD34f,-2.4263684763162762e-14
ACOAD3f,-44.737920745624905
ACOAD4_1,1.3236322332600036e-15
ACOAD4f,-0.9652128785159815
ACOAD5_1,-5.5644906240619415e-15
ACOAD5f,-0.9652138077480433
ACOAD6,43.77270746286005
ACOAD6f,-44.73792158055508
ACOAD7,43.7727075929142
ACOAD7f,-44.737921311211274
ACOAD8f,-0.9652128461021491
ACOADH1,8.770254393290512e-08
ACOADH2,-1.941524697824018e-08
ACOAM,-7.222884314736767e-09
ACODA,-5.8955103755926015e-09
ACONCt4pp,1.2759747434371146e-09
ACONCtex,1.3926770216365693e-08
ACONCtupp,1.265079505384293e-08
ACONT,60.628926550213485
ACONTa,29.28977125481816
ACONTb,29.289771268744925
ACOTA,1.4716277167616613e-08
ACOXT,-1.4001626339109823e-08
ACP1_FMN,-5.4649814976857666e-09
ACPPAT120,1.9891110902229645e-08
