m/z,RT [min],Name,Tags,Foston_Ex_1-2 (F6),Foston_Ex_1-9 (F7),Foston_Ex_1-10 (F8),Foston_Ex_1-11 (F9),Foston_Ex_1-12 (F10),Foston_Ex_1-13 (F11),Foston_Ex_1-14 (F12),Foston_Ex_1-21 (F13),Foston_Ex_1-22 (F14),Foston_Ex_1-23 (F15),Foston_Ex_1-24 (F16),Foston_Ex_1-25 (F17),Foston_Ex_1-26 (F18),Foston_Ex_1-33 (F19),Foston_Ex_1-34 (F20),Foston_Ex_1-35 (F21),Foston_Ex_1-36 (F22),Foston_Ex_1-37 (F23),Foston_Ex_1-38 (F24),Foston_Ex_1-45 (F25),Foston_Ex_1-46 (F26),Foston_Ex_1-47 (F27),Foston_Ex_1-48 (F28),Foston_Ex_1-49 (F29),Foston_Ex_1-50 (F30),Foston_Ex_4-1 (F31),Foston_Ex_4-2 (F32),Foston_Ex_4-3 (F33),Foston_Ex_4-4 (F34),Foston_Ex_4-5 (F35),Foston_Ex_4-6 (F36),Foston_Ex_4-7 (F37),Foston_Ex_4-8 (F38),Foston_Ex_4-9 (F39),Foston_Ex_4-10 (F40),Foston_Ex_4-11 (F41),Foston_Ex_4-12 (F42),Foston_Ex_4-16 (F43),Foston_Ex_4-17 (F44),Foston_Ex_4-18 (F45),Foston_Ex_4-19 (F46),Foston_Ex_4-20 (F47),Foston_Ex_4-21 (F48),Foston_Ex_4-22 (F49),Foston_Ex_4-23 (F50),Foston_Ex_4-24 (F51),Foston_Ex_4-25 (F52),Foston_Ex_4-26 (F53),Foston_Ex_4-27 (F54),Foston_Ex_4-28 (F55),Foston_Ex_4-32 (F56),Foston_Ex_4-33 (F57),Foston_Ex_4-34 (F58),Foston_Ex_4-35 (F59),Foston_Ex_4-36 (F60),Foston_Ex_4-37 (F61),Foston_Ex_4-38 (F62),Foston_Ex_4-39 (F63),Foston_Ex_4-40 (F64),Foston_Ex_4-41 (F65),Foston_Ex_4-42 (F66),Foston_Ex_4-43 (F67),Foston_Ex_4-44 (F68),Foston_Ex_4-48 (F69),Foston_Ex_4-49 (F70),Foston_Ex_4-50 (F71),Foston_Ex_4-51 (F72),Foston_Ex_4-52 (F73),Foston_Ex_4-53 (F74),Foston_Ex_4-54 (F75),Foston_Ex_4-55 (F76),Foston_Ex_4-56 (F77),Foston_Ex_4-57 (F78),Foston_Ex_4-58 (F79),Foston_Ex_4-59 (F80),Foston_Ex_4-60 (F81),Foston_Ex_4-64 (F82)
169.06066,3.567,Unknown 412,MS2 available,1408392.196,6076838.34,6850927.013,5709156.46,8861810.393,7325544.677,5324620.457,29256.18161,2840697.891,28515.76215,26491.48476,28241.86225,25495.0908,12405635.06,16911392.02,10882130.72,26989.33963,13048948.68,2281760.779,16861772.07,16330030.51,16319054.05,19001246.77,20132453.7,21694746.88,33904.42751,24889.08746,32311.19861,25386.53178,32482.11881,26890.86664,26658.52398,26553.34309,23081.03811,24498.84402,26715.27735,24762.6799,40121.52255,27100.925,29301.44225,27754.46105,26069.2026,24094.07403,25254.73739,26490.26084,26684.10333,28025.04227,27773.77718,27572.64088,25738.28605,23461.35731,24582.38797,24067.37245,25294.90713,24229.97777,23741.16497,24208.33363,26789.27022,26012.91124,26498.07673,24368.84689,23297.2194,25318.15036,22392.82312,26144635.42,27298.95573,23986717.52,23386326.21,24420123.59,17897144.74,28923.68688,26620.61503,29594.89771,26348.59607,45208.99143,27678.12858,1160855.316
181.04946,4.969,Unknown 413,MS2 available,574851.0697,6935164.486,10671629,10508748.24,10590108.79,8305399.973,10099763.31,17329.83067,18041.20393,18296.35704,15213.12472,15401.17214,15604.51647,1220727.403,190449.7061,891648.7495,15729.24284,17006.23914,16460.72944,1686872.138,2867256.891,716164.1715,445028.4758,4934786.919,12859308.31,15597.87158,16093.60599,16090.41794,17764.78328,16322.06221,16834.09165,17286.98191,18084.42477,14624.13175,15717.63405,17891.89631,15417.82618,19691.31657,17189.3568,16461.88541,16311.39287,17403.6516,15334.84252,16980.13584,16961.25191,18210.31566,21789.43342,16463.2859,16407.95216,16037.6436,16747.33308,15645.90295,16399.74452,15912.42701,16371.98775,15584.6009,17180.91923,20214.39473,20105.97747,19266.1026,15644.59619,15016.42047,15710.37982,16412.45165,411968.4554,15739.99219,915455.6561,241978.4836,775718.3521,188887.7539,21433.94903,19839.24672,24656.69652,16474.23704,14622.51747,16196.6079,379056.9189
104.10675,4.678,Unknown 414,MS2 available,91116.33732,17076.66292,17170.30213,17409.75572,16513.4159,16333.92619,16847.74801,430397.508,17984.1236,176377.0366,15176.58947,15167.80537,14591.06302,24507.71709,492394.0175,3877832.398,198005.7883,16664.91381,15439.51973,20575.86715,19566.32749,20434.58955,153085.6055,17536.35305,16281.12418,2395250.78,224513.3407,168629.4775,15676.63665,1568046.795,16043.37885,713377.1545,15484.89074,14911.30029,868702.877,15970.63594,15327.78953,126026865.7,115877.2784,313878.2434,544891.7115,16367.46926,78994.18781,16076.87474,16345.59779,16249.82115,721791.9178,114237.1263,16368.51442,16030.71792,16525.18214,871726.3126,348301.2958,314216.6068,479266.3468,86597.61203,1223422.359,570807.592,16751.82394,16586.50856,668320.9623,15763.31134,108451.6493,835211.7069,711761.0792,15766.12767,17708.31694,20434.29051,179348.2867,329116.9807,19332.37515,18978.91035,19923.56034,16581.42341,14985.0627,16419.37183,2218727.777
150.09116,3.823,Unknown 415,MS2 available,22522.41782,629745.0062,398242.8649,401122.2349,119358.1018,93573.64103,21592.12058,1041169.338,916267.4682,691598.5273,21535.0009,20824.78418,21619.17107,1086335.772,1283108.677,1076498.583,20780.16559,21933.89822,21458.93826,1283412.737,1061292.251,1445090.227,22233.55607,22247.62376,23275.44171,24918.75118,24262.15439,22557.82933,21276.78642,23001.38474,22085.28394,22111.73378,24770.68333,25467.46582,23492.19231,23893.53325,23848.11862,23645.28458,21867.01243,23285.44722,23786.16936,7352068.539,2001400.956,6441308.912,23444.60602,22540.91477,3694750.522,3663177.352,3304967.964,1553596.307,22738.11785,22429.45093,23482.77092,24916.36133,23227.12291,26476.71806,22833.50516,2407007.501,22744.77337,247450.6119,1594257.795,1276803.469,2381180.888,24189.3646,24470.78994,22204.66847,26043.59039,2704466.062,2731116.221,3225514.705,1819633.59,539158.7573,2328282.787,851811.3978,23700.51535,1046724.549,25018.88338
217.07069,4.78,Unknown 416,MS2 available,9992.58166,2736866.498,2374068.389,2816784.125,366987.2547,509223.6424,304447.6114,11720.19746,925058.3669,361588.3793,10465.27466,10674.18986,10237.30673,3935609.26,3306564.68,2716933.977,11047.29614,648311.6901,276799.1464,2011564.103,635140.6057,2861271.736,11108.44255,11628.46617,15388.05922,10464.95729,11659.09046,11012.10852,14978.09422,10973.18818,15968.22961,10810.82186,10914.87453,10328.54037,10343.4698,13692.50919,10678.76245,13057.59439,12698.32392,11668.42005,11528.57111,12481.45279,10930.18228,13108.15103,10972.64055,13078.88203,12838.55143,450184.7145,755863.7362,351626.2682,10856.95568,10239.81481,10846.90352,10777.48706,10905.67884,10662.17002,10732.05898,12204.59275,11007.40215,11256.03661,655263.0528,495762.9473,571124.0284,10208.72479,13723.61474,11303.98385,14372.83865,1275405.709,1063746.527,681143.1303,13226.21867,12854.37618,576645.2512,11661.33487,10514.7812,298001.0095,11018.81316
114.09117,1.077,Unknown 417,MS2 available,625336083.7,680275205.4,513318537.1,1166407388,1212865902,612918623,953218714.2,1269662893,1586200382,1792604599,1473998395,1882721826,1277863166,1856895796,1807574766,1470309308,2714643449,1968987797,2246471338,1719391796,2074227173,2822465588,2437644613,1894312895,3305496662,2203613800,3947094876,2396354113,3257960640,3293618348,3814340296,3240151383,1549271388,416830454.7,2621493280,2939865690,2594816253,2118537485,3504881318,3651778434,2591614526,3755784796,2976806450,2162953489,2222365698,2981754866,4272863772,2892206662,2080720351,844583369.4,687440180.4,3708126264,2781712232,2916202665,3467992499,2960004401,2643652703,2771782548,3017084643,2761716091,648291596.8,810013531.4,647575422.7,716134819.2,1899128921,1849310714,2634944974,2459252234,2401802056,2201267772,1739945874,1844937515,3325335263,2144639704,2427312411,1954762508,539943341.8
114.09115,1.234,Unknown 418,MS2 available,452701150.5,279757391.4,531478100.3,541739328,779782736.9,561443197.2,865363158.4,737418847.6,1469098444,1411961086,1398826278,1293292240,1151752833,1502903295,1722405447,1334992614,1158427341,1625937952,921558123.9,1544359135,885348044.7,1317624639,2023089071,1710639799,2570649094,1138087879,1496938583,1398207318,3217300699,2649173953,2236593164,2050484431,911509308.2,181170560.8,1617330627,1669805573,1599841074,785116202.7,1788660446,1362906296,1937574994,3525459123,1129203748,1225328173,1278843228,1842209027,1583862797,1605477206,1643650978,884454825,271522343.5,1454598760,1100454750,1976489280,1953857885,1745453423,1715845669,2438185798,1846034095,2164463347,247430572.3,305539513.8,279245043.1,253332506,1035200199,1176487494,1546593363,1359291083,1497736057,1380704792,1405704160,1147839460,2093562127,862174218.8,995417212.5,1770049974,203304585.8
268.08148,4.64,Unknown 419,MS2 available,10521.77939,12033.05519,11835.12777,12105.99719,12345.60968,12189.67025,12149.97951,3080269.952,4607602.159,3727433.12,10622.78321,10596.4996,10463.8799,267515.5952,820919.5176,312828.6876,10438.60723,1895969.789,1066984.398,13585.32269,12899.60335,14178.5013,12824.61739,12356.97542,11472.47953,10740.15278,11097.30396,11313.87579,11724.89475,11216.46716,11420.2686,10788.61087,10911.41435,10507.23435,10646.79039,11184.75692,10843.54585,18688.95206,11036.44133,10737.43929,11410.1791,11959.81012,10958.44511,11328.55535,11599.76281,11401.28097,11916.14631,11132.17055,11105.28004,10764.20984,12691.67475,10534.27921,10798.39379,10888.44412,10794.56441,10245.62597,10639.69566,11580.59359,11616.2688,11614.24875,11408.37425,10717.08969,10704.79379,11005.49953,12803.1225,11065.37595,12137.08995,2876044.493,837057.866,839255.6872,3335952.346,1129078.85,3555786.887,3729256.424,10559.21097,3896480.205,10611.8982
107.07023,0.848,Unknown 420,MS2 available,4075032.834,4168471.754,2653327.709,3756078.679,3641375.489,3094783.878,4597826.399,4906533.505,3603324.892,4900457.496,3953944.978,4737819.01,4059610.825,5221879.28,4933089.068,4688283.25,5037907.896,4134320.925,3969157.969,3330418.801,5009319.551,5734607.292,4251141.807,3758543.68,4497529.81,5499300.656,4439603.253,2114135.649,6258215.333,4903892.342,6089506.616,5562776.953,6892902.504,509098.7207,3497337.626,5980204.89,4658077.343,4303763.986,5108971.819,4754623.474,5645525.457,5165589.854,3837985.244,5038936.06,3608985.941,4541836.123,4827585.815,3520602.01,4426841.935,3807481.515,3562795.717,5207391.046,3368830.136,3671570.337,4437860.532,5047745.871,4521605.205,4580795.899,4376535.727,6666003.663,1915600.427,1559339.501,1123153.047,3749695.031,4201982.753,2929461.171,4044678.541,6549492.139,5447643.511,6418752.425,4663051.284,4946560.816,6075330.801,5177513.271,6333129.61,4279978.931,4564315.005
247.09237,5.009,Unknown 421,MS2 available,131669.5397,3778394.273,2973260.981,3323579.125,12869051.75,9141170.364,9273689.959,2018666.462,2352538.973,2166986.95,1129429.953,2844909.498,1119785.713,2481563.607,2665138.782,2622701.465,2452415.389,5936829.636,4870587.06,1751829.96,1472161.934,1872885.349,4901096.135,5526321.857,5043674.948,13675.33369,327757.347,15691.13365,950623.9451,15743.11602,1053142.306,137653.1105,16835.77381,12646.95626,282931.714,17458.45833,301125.1893,17019.7601,16772.60954,15680.95511,16685.48752,2760019.152,539133.2549,2504658.584,1401609.653,1130699.763,1083405.159,2478836.874,2992916.104,2415092.456,14475.19217,14994.77861,781148.0203,14997.33557,1738701.378,14469.28073,1753855.977,2148643.606,1455141.105,838826.197,1680831.389,1531177.667,1651612.617,14185.74471,16912.28648,18404.67569,15493.29676,2628680.765,2331021.493,2170108.807,3119297.672,1032598.402,2578203.388,2324144.462,311140.3145,3143562.312,13001.1917
