Metabolite,Tags,In 1-A,In 1-B,In 1-C,In 1-D,In 1-E,In 1-F,In 1-G,In 1-H,In 1-I,In 1-J,In 1-K,In 1-L,In 4-A,In 4-B,In 4-C,In 4-D,In 4-E,In 4-F,In 4-G,In 4-H,In 4-I,In 4-J,In 4-K,In 4-L
Turanose,Moderate Confidence,43368.28999,27209.20158,99229.31917,41592.87779,125701.0055,93064.52323,33530.29442,36435.2375,18098.97726,115508.2751,0,326645.8251,73153.62331,102860.2224,54034.73747,64619.09936,52704.76924,75589.58857,49661.39729,27107,9039.363119,98092.04018,180094.4978,149368.4548
Unknown - Carbohydrate 001,Moderate Confidence,47234.13789,85241.90882,68844.46154,106902.7727,92505.27963,130229.3413,254215.4847,265122.9865,209111.2185,228659.3867,325605.6946,354164.0088,33556.78625,17502.19077,38779.88486,62026.67803,18729.96042,45336.54986,35115.04984,35295.41412,9387.535849,11086.77324,312998.6734,238626.9182
Unknown - Carbohydrate 002,Moderate Confidence,116775.5746,135266.1867,179199.0672,178790.7357,61108.72574,70565.03836,99157.20838,136428.6854,141339.7491,86825.61746,141179.0162,79667.85546,93378.79106,94526.40215,22869.02123,87521.04414,48785.62048,77129.95473,42814,39200.65943,1790.613584,136583.4877,229287.6505,94200.17156
Unknown 001,,4582022.252,3324752.987,3835748.257,4902012.38,3139612.68,3858104.628,5591087.889,5994374.159,4898084.159,5333648.532,5511536.398,4019451.257,4202434.599,4291773.06,2977101.219,3218832.797,3826861.958,3531438.817,3978380.768,3531393.29,3246597.644,5752655.723,7153546.485,4968687.481
Unknown 002,,45445.27067,128557.6941,138914.0806,30586.23456,257624.3433,295920.7446,69537.15178,152457.3436,324439.9582,44243.54517,233570.7122,228195.2298,214422.3762,126601.5574,107021.0499,119855.0056,98892.52035,136398.0072,132141.4117,4592.767887,99828.53867,156592.9168,206264.3494,65138.33283
Unknown 003,,229371.3605,266971.9394,55233.30666,165805.7988,36244.18921,159929.8366,128357.7087,508110.3145,167055.2179,167772.4041,613087.947,178664.1715,132812.2953,69549.83561,186805.4792,203814.4187,208934.8398,230560.648,213962.9967,197675.7186,213345.8588,247884.7898,274515.548,231898.7997
Unknown 004,,220143.438,180331.5913,213245.0563,675726.2173,480411.5074,687858.3305,687807.5955,644653.9356,470251.182,654998.7561,594788.881,647257.8706,51933.42664,21842.4185,29388.07635,24179.19421,26840.84008,29918.53468,81796.15772,19121.26392,29647.04764,252741.6635,183063.0725,108652.4185
Unknown 005,,297627.6709,302663.5217,305863.4441,287019.7339,279256.2248,289894.1866,296144.6807,293484.5339,294915.3463,275905.5176,268591.7231,274800.2138,299324.1878,303204.5347,293754.5559,304405.9024,307572.1953,291235.4366,286736.1292,304563.4682,308415.3512,291133.7857,308786.1079,317013.3704
Unknown 006,,84716.56258,120386.1747,93240.32745,70139.23046,77116.58208,78845.50522,84448.45037,71433.06642,90553.24111,82201.18533,87647.9301,84415.25887,77983.29109,88621.26619,89789.14281,90518.29241,75931.52854,79792.94873,84557.2251,85224.06944,88915.36306,27750.93486,84185.26872,84534.44389
Unknown 007,,1137322.656,1101482.27,1168062.935,1102462.463,973651.9662,1072554.463,1096942.564,1110537.556,1131066.207,1078672.286,1129914.625,1061948.117,1110626.799,1138927.547,1060225.255,1098178.175,1136339.58,1145288.659,1113544.748,1044410.505,1118509.358,1173182.398,1242700.024,1124905.776
Unknown 008,,12003.69276,215042.8442,23370.84992,174917.8629,127286.9814,110302.5591,90473.58614,144433.1023,13732.29863,84666.04478,35500.67061,24389.23062,78227.02485,23289.13886,68993.56489,25678.76076,114036.2947,130009.9406,58195.91679,39338.12565,70945.59224,269512.6859,69314.55531,64542.48614
Unknown 009,,202218.5659,1831318.162,349136.0443,330220.0612,223926.6171,232490.0829,290451.1523,306647.8868,325135.5631,228084.0366,201426.6276,251679.7333,195773.1782,194705.8389,177662.4821,334978.497,246904.123,258085.7741,334464.8803,243918.4173,273464.3334,414596.0006,197289.9877,214974.4538
Unknown 010,,1102160.7,879350.9235,1429737.91,3754815.054,1698750.377,2407900.536,2589715.464,4087897.969,3064741.109,4476602.303,10599455.02,4993069.388,1681158.95,1658878.231,1197842.277,4250355.417,3435513.412,4840377.132,5228171.878,3832933.316,3000699.202,11167808.41,13080249.91,11363877.39
Unknown 011,,257142.2411,273861.7193,265433.3082,310336.5314,255607.9311,280241.2432,284270.6985,280789.8886,277512.3529,260859.4309,305430.953,272573.4132,274397.7641,285143.9608,260543.5751,289877.745,272876.8786,322835.4417,308501.7089,284632.8338,273802.3079,373767.756,367151.4001,309652.3918
Unknown 012,,22223.29714,20829.85645,70064.53209,25966.37413,11416.10413,47317.87789,17955.58257,30484.35256,27762.93001,27290.84766,27046.28179,24693.51058,27420.37297,32578.56483,26670.1471,33667.2758,29374.98738,10717.99805,28795.92921,48418.01442,10836.05175,12634.72065,49941.64189,25939.81239
Unknown 013,,272157.7118,2573471.38,252329.9526,268229.8524,4993852,2646878,252782.8424,254702.9312,257929.9213,241033.9088,246562.4458,297874.043,292423.121,282567.3857,234364.4463,281869.7085,4060268,4471471.042,190564.4505,3869951.489,2003663,43112.63009,309511.7623,258164.1905
Unknown 014,,229969.0172,2451324.494,198120.3157,260127.3248,158669.1109,215276.8117,158961.6631,190831.4476,179454.3944,153146.629,200926.1834,169175.5727,214690.1807,199225.5031,175658.0885,192366.2813,87086.46587,74286.98021,183030.7126,1984985.223,77825.27769,230252.7798,219199.6971,183277.5108
Unknown 015,,103156.3464,50729.86256,127809.4892,266427,110893.2171,88524.40965,89288.74647,92824.4548,71839,235865,100894,93814,102575.3666,143371.87,106533.9715,102484.5704,60361.41085,132463.4653,117705.6203,94183.67007,121227.7819,145076.7343,83063.99937,88660
Unknown 016,,27355.82778,57553.21807,101066.975,38378.4958,92496.97491,354100.1607,62122.27477,33792.76064,63208.78721,94639.25515,260340.0509,135698.3429,86945.99868,35350.39683,69126.64975,39318.32215,49645.19809,61346.45806,91975.69675,104159.3566,44295.20113,49666.741,23827.90768,35635.00203
Unknown 017,,30516.67072,33266.5803,17904.84436,56699.78728,23286.02181,39478.73914,41398.82176,50408.76229,28098.41386,16841.80501,80984.9904,84719.98721,33688.73646,58121.91484,38979.92941,40704.54412,44774.46653,40686.15026,34306.25108,40000.72601,27806.24081,30166.30943,65332.73988,30845.55705
Unknown 018,,1444358.661,1464879.049,898049.9389,1412640.471,1296716.385,1566423.559,1359997.291,1363721.203,1371402.393,1160363.759,1320291.545,1177050.115,967012.5533,279171.0469,1093821.343,1104132.454,1663030.694,1716711.856,258213.3872,1570986.59,1534176.207,250731.4853,1734425.623,1283351.626
Unknown 019,,1444358.661,1464879.049,386585.7416,1412640.471,1296716.385,1566423.559,1359997.291,1363721.203,1371402.393,1160363.759,1320291.545,1177050.115,668723.5756,1385727.067,486103.6227,414477.2432,1663030.694,1716711.856,1255827.744,1570986.59,1534176.207,250731.4853,1734425.623,1283351.626
Unknown 020,,102240.2342,112668,82404.81705,138928.4856,176272.6896,122720.9808,637319,90151.55576,82313.05078,133185.5521,127584.5837,1046612.82,129398.8436,181178.1551,131267.091,142091.6725,126739.8607,162633.7331,148829.5751,120263.7368,102980.8602,126178.7963,136448.5172,99620.25272
Unknown 021,,42616.19682,169437.0363,48846.03067,122326.6198,456349.1804,154216.3358,479461.638,80590.33346,80424.54227,130870.0387,94919.30029,111434.5854,494873.2035,525235.235,400898.3581,463377.9902,45102.02,99218.95262,145704.5639,37866.85177,95857.82245,85522.33252,71155.19035,42376.34932
Unknown 022,,1448725.841,1452215.313,1300745.523,1382853.209,1768825.446,1786063.675,1348537.927,1359217.927,1349954.595,1663656.025,1422774.109,1731748.4,1327305.103,1387080.34,1243223.141,1266507.968,1268587.228,1396829.008,1252095.421,1195350.755,1268864.501,1434427.927,1921477.619,1539807.524
Unknown 023,,97686.81463,72157.77273,90071.15741,40557.41697,37861.50751,80554.27669,38154.70196,74149.99369,50042.89233,60695.39098,59760.82467,53114.81381,48638.72634,44985.58508,56864.32509,57430.66323,83029.99052,71253.44165,67919.34321,67373.72439,58138.96476,66075.89018,58462.21383,117615.9068
Unknown 024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141515.854,135847.6591,118370.8444,0,0,0
Unknown 025,,1307200.247,968103.2183,1056383.471,754815.1112,403620.3753,400936.1575,723759.2831,1441567.631,1053914.108,387643.9286,681437.7405,296541.8043,1889851.577,1994439.247,1718445.942,2229673.255,1332377.41,1770310.584,1274404.161,962386.1402,961941.7825,1564814.116,1169530.065,1300715.837
Unknown 026,,238054.7361,352596.4233,206799.7874,226355.1111,293907.3575,535715.3671,211464.0782,256101.1316,191526.7991,133281.8395,376572.2995,231542.0202,190217.0527,359243.8153,237765.4304,208967.328,475434.5546,590490.8542,295300.1421,304817.3906,495089.1417,303033.4445,314630.4974,306038.5223
Unknown 027,,5700.480526,0,0,30071.39894,33945.16786,90993.11849,0,5867.213225,72585.0674,80883.40344,0,59193.62815,0,91292.8423,53130.64284,120321.5094,100420.086,126040.5084,100544.5758,123872.7389,99677.43623,59771.69493,64067.12518,58050.48122
Unknown 028,,296449.643,197799.097,1654975.323,368018.2086,399354.2445,446514.1135,6739973.168,306143.4453,427160.0572,325573.3554,304965.3992,1098451.743,2012682.652,102864.5046,328712.8823,486940.7225,113081.8016,169070.6015,219041.5942,127767.1852,241313.0516,254255.0531,89558.52006,579180.2175
Unknown 029,,0,0,0,480109.1493,492604.2651,550750.1341,0,0,0,0,0,0,0,0,715710.949,0,572094.0784,0,0,0,581251.8129,0,0,0
Unknown 030,,0,495165.9052,873933.853,0,0,0,0,0,0,0,0,0,1023569.824,0,0,0,0,0,0,0,0,0,0,0
Unknown 031,,0,0,0,0,0,0,0,0,0,0,0,0,0,538574.7653,20778.84279,194263.9763,0,0,391923.9715,134719.7175,0,0,0,0
Unknown 032,,31740.95531,30121.7679,30253.20531,30566.72683,25041.80413,29760.08608,26974.32223,713042.2623,298977.3636,31504.47286,863445.876,2451817.642,1883544.908,30071.77592,2909779.728,29749.0309,1071662.394,27628.58518,28590.40588,27308.01561,30538.23145,1126171.911,30672.41587,26677.87246
Unknown 033,,44348.86326,62862.47321,47751.78098,49423.77208,86532.81182,91022.32581,60088.27624,63967.35187,38162.46269,47472.36891,56557.36308,53583.33248,43907.83379,43552.38245,53526.59513,59129.72955,55595.62001,65538.24994,54938.20222,72024.50153,67941.79368,62650.1136,73377.48664,81447.21662
Unknown 034,,284660.6802,394712.4277,451975.703,961443.3589,1104586.089,927379.761,589265.0105,566803.6975,552405.1693,939006.12,1148558.213,1072702.784,1670129.445,1880173.325,1047369.755,1455520.525,1079379.197,1930062.155,1067714.082,903941.6514,753613.1692,1293288.94,1188270.202,1263517.645
Unknown 035,,45870.44634,40239.4636,24200.25167,29366.67166,469199.5923,93367.46727,19049.31654,45420.73878,20470.75586,18742.46854,417880.1948,17129.9598,490128.8357,85708.07412,33633.34565,45602.45028,373868.0164,166850.2036,22005.33136,17705.43345,21185.06079,180979.7622,42556.83284,365457.4496
Unknown 036,,55736.35026,55501.884,57047.06147,116887.1393,77515.00856,83436.12566,106103.4453,120350.4433,113095.5995,198835.7172,185831.7931,160264.3734,73675.12768,58955.23444,50070.45692,114094.7586,86363.13823,102545.089,104495.1849,83126.9803,78793.15409,183816.4492,257549.0175,274794.67
Unknown 037,,33187.36989,90527.61124,45851.97457,68830.50137,7182.727051,95018.79963,71665.94021,0,71466.94248,75611.80184,68562.05819,68060.69555,70802.18627,70038.63218,67500.74334,75131.03163,83064.9741,76608.07078,74042.76571,68619.02068,108851.6993,74651.86704,82602.7398,71187.88292
Unknown 038,,65524.82398,93253.20362,91163.69047,73154.71142,102163.2261,187238.8264,172814.3037,219622.0208,196153.3535,163608.8147,137101.5805,128659.4462,90654.32356,103987.1004,91271.10377,149987.7893,108115.2927,102941.0632,93855.11004,80514.83008,90876.13046,122968.9437,111955.1071,116436.9943
Unknown 039,,96475.93557,96641.32162,183764.1176,251577.4471,100888.6364,78135.32261,702002.646,85220.30882,48082.77112,47215.19276,153846.4012,42572.45831,268030.059,159709.6178,112005.6875,140060.885,230047.3461,299469.4918,237983.1538,181506.7694,2854.939176,143015.8792,235716.6202,354523.0815
Unknown 040,,668757.976,29870.83788,791233.8463,376356,64325.47959,268602.7424,2699024.436,1167365,2573424,27882.06281,1167245.35,1873455.216,36541.9747,21678.99003,22499.11258,20122.5158,19381.0709,32282.77769,1564250,34852.14039,32626.89192,172864,38212.05118,1632012.588
Unknown 041,,111866.7405,47607.11521,118583.4721,51300.35567,0,113.5132702,141669.2163,83764.10884,241895.7701,99102.59971,0,164837.7885,272045.2425,0,147127.5869,17560.17351,0,93378.23229,176032.2658,104753.9986,61318.14913,0,91146.10621,474627.5503
Unknown 042,,42455.98123,44487.80936,57550.19604,18868.82758,29121.45449,48002.25298,45587.15756,47883.88887,108674.5854,49910.29974,50939.09331,100596.8211,16177.09605,50454.41418,49008.61717,87476.57994,61967.66874,56504.28832,95456.64533,27802.87875,55495.15041,50631.85898,56793.18387,59457.96184
Unknown 043,,163143.2691,44009.64168,163783.6367,556078.122,422835.7167,567431.1819,116021.9052,189555.7043,151205.7342,443588.2132,495180.117,465624.3063,250746.8867,485107.7669,284013.7709,572171.9315,516569.4742,717897.3332,418559.8805,311277.6524,432024.0352,549007.2934,509074.9354,488032.1449
Unknown 044,,163603.9144,86852.79474,157674.3118,496790.1373,344314.5607,614494.2656,135373.9838,217001.1452,174128.1168,494039.1078,582802.9202,527180.5142,315976.0363,635736.8166,365140.5984,620415.8325,605708.2428,851244.2283,552038.5824,392885.2895,546589.622,644773.8254,642536.3442,626170.1826
Unknown 045,,0,5247.763801,0,0,13285.74997,8929.022385,29357.35115,22021,0,0,87683.97751,20692.05869,0,23373.52442,0,69555.50016,54253.038,50572.23709,79884.39003,72560.25901,59469.14041,211167.1004,219653.9034,137118.3364
Unknown 046,,0,0,0,134480.2794,294393.9203,303090.7868,262412.2781,128012.0777,132745.3559,126434.4975,176998.5702,156547.7234,233287.6863,253790.2905,211900.5448,275946.7988,234021.8288,342925.6047,314986.5483,242726.652,232376.6229,225090.8352,223488.3787,130395.5181
Unknown 047,,91640.08415,0,76610.60054,0,0,0,0,0,0,79847.00598,107985.0987,56869.48081,0,0,0,280808.7453,0,0,0,0,0,0,0,0
Unknown 048,,289995.9171,264528.3614,336659.8934,109365.0623,108435.6544,246087.633,270042.2837,217414.8989,106814.8061,108579.8026,85840.39247,100210.8117,28534.92065,54599.13073,69215.60818,88707.15395,42867.87591,79499.08087,29399.4551,46836.26635,97332.23424,73763.90418,51719.11168,58616.72071
Unknown 049,,20122.12609,32104.55433,37090.67626,29078.91697,387.3689608,9842.140849,27621.46329,38466.69461,4365.168291,1598.065288,2298.850735,1323.314899,4460.118129,12707.22066,3803.596595,50521.73658,4064.593149,60508.11983,61552.12211,57402.88508,33618.27257,61249.82214,57363.75699,41872.44436
Unknown 050,,351320,418727.6311,340952.5645,69239.47424,30618.68327,143730.0077,57268.74624,263875.2298,58303.85061,96302.07866,382690.1881,175714.9092,170686.7941,304700,185400,59531.64524,105666.4451,235409,191388.2116,233852,183219,322273.0932,366559.7425,205716.2527
Unknown 051,,72079.99823,153645.2588,367972.6791,77401.46215,224943.9253,146188.0091,94926.10635,303299.2756,81154.54883,264795.0847,304549.9354,353846.7264,21112.87989,68779.83263,44123.33545,46597.72518,221532.3611,108044.0001,80697.16083,218227.7181,156522.9942,329930.6948,385272.5779,381578.4367
Unknown 052,,32498.38709,43567.75808,21346.52109,26902.76197,73043.20449,41605.10869,55158.28701,0,7795.996639,25941.56341,18522.72934,0,3241.129165,32878.29551,23432.76633,26077.03858,49371.69612,36015.20646,35540.41595,31194.4829,51435.74922,43893.01689,43276.86086,36867.68077
Unknown 053,,0,33889.93015,35712.06657,27207.03171,167317.2546,14399.15156,188845.314,62596.66334,185057.4453,146719.3014,275189.5541,239914.0138,20626.34047,110844.5342,85676.43619,132554.9499,487329.9029,222905.953,84941.02787,114326.4743,112957.6191,283749.6864,300183.197,157383.771
Unknown 054,,1200051.731,936822.7111,915219.9903,85788.74688,44520.1094,69098.68367,525586.2912,806234.6489,1040746.202,110386.1481,165570.6245,123773.8359,100123.4855,156299.032,101147.478,63650.3466,53709.25799,66786.98766,106278.7668,136295.506,153801.6652,364895.4389,350611.2012,223790.9106
Unknown 055,,1411369.646,1097617.918,1071518.743,49482.42485,45074.88457,62519.87269,595936.0259,924041.7194,1204249.438,109500.6882,172014.9622,129486.8417,104020.9492,164247.5925,103307.2306,35600.00812,29965.77067,49788.21077,93298.23924,110954.4709,141882.0667,400269.9761,378160.8896,246217.7758
Unknown 056,,273754.3573,333617.0451,125230.6757,277227.331,242440.1916,264367.1608,155212.6848,230875.6608,115220.7176,196001.7848,221904.137,97604.48856,360444.3962,320802.7498,113890.7003,98390.93076,181498.2864,267081.5317,290083.2584,211780.1965,149832.1559,320590.071,237790.8418,273607.6604
Unknown 057,,589506.1413,810825.1162,395141.4255,171809.796,596761.7467,405461.2388,305056.4068,351707.78,301226.8246,299279.343,251004.6815,190608.1851,630024.1025,552409.9871,559078.4869,115160.294,263248.2666,627708.6787,551876.0564,426233.5329,269559.5515,355949.1984,343249.432,305603.303
Unknown 058,,71022.41879,86442.74026,74728.0248,74214.85388,89172.27726,88804.48251,70517.19217,44318.34458,65992.12706,62603.25062,57192.22532,76982.40012,53954.6278,68899.65468,56335.55978,64103.10976,64778.64079,65821.29805,68480.08654,85960.78258,61953.31258,63575.19794,67265.06007,55048.8667
Unknown 059,,285147.081,92565.03913,85048.71784,174020.7181,78622.31386,105652.9997,141084.3151,184511.8188,261385.4745,81929.98235,126016.0511,51807.94936,223883,228158,68832.3225,114862.8657,163856.9614,254774.532,211436.2238,151896,114333,186190.0878,139068.7258,88092.01282
Unknown 060,,10384705.12,281670.6136,11851164.59,514043.9311,240221.0917,291525.1709,30419404.24,14075680.71,29618248.07,7697785.921,263978.3271,29167182.22,104520.3825,80141.93123,133847.4331,108895.0662,134717.4871,201605.4539,51353.73213,63230.49675,45391.20609,455623.6587,398319.9413,22970709.57
Unknown 061,,196439.1191,123839.1881,233092.4892,274339.1898,184749.4644,236466.3337,1106065.982,1140891.939,1040275.24,1458594.467,1214894.58,793484.4309,435800.5193,230695.0835,294062.5294,93262.60901,179080.833,157870.6893,218786.3028,171482.7595,181707.2761,1022308.133,1056329.165,746962.3086
Unknown 062,,229691.9676,239752.7872,176244.3068,300510,95299.45649,169343.5148,827537.3082,340640.3091,299193.7579,159911.8989,156938.6591,142210.0894,215150.1274,198774.668,120897.0256,195278.718,131866.4076,200194.2292,210720.1515,122916.923,104719.7758,211979.91,210320.1515,191448.0939
Unknown 063,,38440.33581,118431.2546,163601.802,892213.1069,129679.6566,137207.795,113771.913,138578.6588,764576.4342,114169.7547,127597.2331,56088.52787,285032.6978,408145.919,208206.7422,120104.3127,451455.6003,185488.7869,195414.2298,158331.7367,247738.726,144848.1012,119090.9991,207231.4881
Unknown 064,,55442.23296,52543.28857,114793.911,24271.31308,378570.7409,408168,53803.60539,25183.32749,0,46506.61288,132521.9876,45059.7394,146021.1878,332955.0913,22159.09546,60379.43214,189824.7488,79830.88244,75525.35871,219791.3421,312782.5996,130797.6738,138491.3542,116874.3646
Unknown 065,,20176.01001,27784.33305,17909.70671,65765.29712,51979.28692,57540.60101,34117.24319,25132.40717,31295.11642,62628.33957,79649.80478,66048.82925,3897.407534,67740.828,44404.51562,68208.54984,62667.8927,101055.0378,55639.98591,45857.59857,38580.17483,89366.26702,111211.4743,62164.36324
Unknown 066,,831582.769,979662.6962,1243573.048,3225665.14,3348092.616,4058724.928,3527984.768,3106751.962,3895990.395,7084713.747,6136009.677,9171385.571,599433.0361,1134922.194,690251.5858,1512504.968,1169648.127,2060832.06,0,908929.1355,755768.2701,6305131.44,5317231.863,5693198.268
Unknown 067,,574418.8821,695055.7918,939667.7781,1169817.057,1119347.738,1520807.66,1308807.871,87979.68458,1313045.93,2369244.997,218312.4422,557004.3741,173760.8057,4152.132511,755.2758174,198104.7374,166828.9792,471085.109,0,289000.1545,6638.67441,279046.3046,694370.5748,343632.8854
Unknown 068,,39442.8676,57201.04087,68232.65738,61050.6357,62156.9085,91599.19907,85157.2118,50173.70798,88963.69755,81296.6076,70466.09609,70161.44234,47884.67633,43155.35931,46756.68782,51357.58873,40995.61461,48413.00678,50596.13246,44824.65151,37952.09692,80357.21591,71869.12946,52308.28583
Unknown 069,,452866.0302,453434.0636,588072.5547,276185.3983,252441.548,230632.2388,228975.9416,209160.8206,236093.3772,685471.8079,473226.1964,446567.5473,56075.37202,268207.142,142182.5813,649867.3997,425836.2915,524321.7269,432632.9564,224947.9602,230556.3184,340281.0428,314669.0326,292111.5717
Unknown 070,,0,2259281.042,1638449.817,0,0,121928.9996,0,0,0,0,0,0,0,0,0,0,24239.06043,355177.7793,0,0,0,0,0,0
Unknown 071,,404940.0699,273029.3204,340198.6026,196190.4463,144373.1009,168852.8316,151180.7033,180530.2932,162058.6759,111417.0999,175560.2542,22947.32252,65025.77686,64396.38865,101851.9404,84580.50579,60491.08678,96493.7178,87139.55017,71795.91275,49812.15047,97126.13526,80337.96591,71837.38775
Unknown 072,,271196.2468,360014.065,369738.6318,282376.7943,260125.7513,289265.8471,196946.1952,226608.9489,204457.0222,210228.9898,202173.8317,172827.2928,247058.824,240234.3527,187075.5705,244823.8466,225828.9855,217156.8208,295957.6182,240296.2984,237793.6409,280210.7343,272165.8896,275547.4828
Unknown 073,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 074,,162464.8201,237168.2357,264051.855,120701.7137,67016.88347,95837.38421,198698.3224,339097.6048,220774.717,49877.61713,42270.86347,38552.16505,189361.8032,246203.956,107955.7375,109038.6497,107863.9175,139759.2744,155510.8852,126139.2389,115743.613,244319.7727,259813.0072,170116.0414
Unknown 075,,0,4205.47876,0,5855.890077,18722.03124,17698.12139,466253.3561,461234.6523,492752.8546,471762.3791,358889.5922,461461.6351,0,0,114684.1311,357594.5454,273288.48,380589.4735,134857.207,88472.19989,83297.89859,352947.8837,356844.5119,271849.3989
Unknown 076,,462550.6092,530885.8291,729327.5407,507912.8458,390108.8894,606444.6241,126836.1406,200192.3901,122764.2527,0,8851.820132,6526.59489,240772.7419,253851.564,176137.2093,91804.7045,81785.02105,142667.7067,224713.2036,185144.7381,164982.9587,99529.48819,87242.78639,74540.78317
Unknown 077,,36706.79596,19087.06052,25468.01629,27555.87182,37286.96318,40638.05686,59554.7091,62420.80297,45957.82626,22386,31157.45364,42540.68769,26437.11322,38355.49867,24208.46413,21836.7909,49500.65229,72643.06798,28440.24948,20956.64956,56936.66889,34461.52456,26351.4471,46774.51584
Unknown 078,,435291.1008,458397.1723,558178.6771,114883.9252,35890.80179,68686.60755,308926.4004,387640.1349,215361.4726,27130.18657,42097.38183,13882.76286,129484.4685,245878.9728,171835.8716,143121.3871,92283.17136,117960.6894,195593.2277,96938.1723,165912.6188,119719.1492,88066.71751,116819.3861
Unknown 079,,187295.6738,245207.1766,282056.7295,53436.27188,117343.1572,68798.18567,190090.325,268245.8136,223494.3918,80359.87406,108833.4002,104013.6166,88575.83605,115286.7655,77864.97765,111881.6835,87551.54051,125572.4159,98402.72009,68678.51271,75360.56812,163071.7687,179776.3718,131869.1266
Unknown 080,,19098.8219,15479.67858,9976.651901,0,8927.257624,11076.15816,25133.66255,30812.03869,42023.12545,64741.99577,70916.90754,84791.66341,8989.019971,48417.22542,46004.10459,30604.64929,58598.03082,0,48041.29794,55809.58534,37791.99513,73448.30678,42560.07831,50501.99048
Unknown 081,,40704.22807,1139376.736,1217215.514,2484147.14,3565582.528,2745618.541,11152425.63,11043235.35,10698498.43,8445825.979,9205906.398,8980733.272,1864370.745,1645761.922,965264.0683,948437.5468,943804.3446,1545072.195,846839.6691,610253.9389,525358.085,749676.6084,10510274.72,8221871.538
Unknown 082,,571479.9573,700525.2438,747244.1678,792179.2247,1020009.9,1076461.898,713269.0259,598884.1629,270653.1653,678689.4088,3400443.464,917964.5795,299533.1184,330398.5668,225856.5384,428314.2133,366713.8359,459395.7508,294047.5695,260251.8692,267596.7277,3579002.655,3983392.494,851590.6962
Unknown 083,,757185.2237,1621848.974,1010288.504,1277736.992,1334350.221,1675650.951,11323770.71,11156315.06,14313683.05,8122602.548,862519.2945,8820480.674,297835.8859,490661.3227,333652.8149,665386.9483,412013.4877,561053.0315,484096.6096,407925.858,414549.9006,763924.0689,647367.2593,8344129.562
Unknown 084,,358423.4439,438459.5173,6608359.9,387085.6411,357228.3741,331264.6631,1576315.503,163459.118,99060.55355,29890.18893,67830.88661,23926.88651,237416.5947,180169.0227,378178.0875,464128.1223,455738.6769,548031.7615,507187.8009,447759.1622,405632.4947,68852.85984,1136544.099,855274.8242
Unknown 085,,4343728.146,5543642.007,7814496.869,618503.4969,9077.375639,296221.5038,1677452.958,3782054.564,2641178.988,35251.07533,36939.32485,38238.94331,1370777.997,1896826.544,798446.7958,516087.8222,286720.3539,583494.7166,1254760.097,761284.0145,659921.3315,907134.7504,974550.233,856963.3163
Unknown 086,,165973.008,199764.747,287838.8625,45976.37398,43318.97965,33151.10385,2237546.6,2277218.455,2199111.794,1725162.853,2022358.545,1884387.097,53748.69636,77785.55139,34360.3458,1014764.551,808744.8582,1049054.539,574037.7605,462529.0917,431698.1849,2188931.969,2380961.423,1837438.98
Unknown 087,,117553.0389,154389.2392,211286.4676,17715.70219,66366.77798,5149.283348,89710.16007,76276.69176,89213.5202,33802.70108,37706.31928,37423.86471,63373.7171,57227.11591,45106.54016,38171.70543,31510.53406,63005.68106,69300.3704,63667.19899,42596.95086,67211.13728,69300.48104,61977.55284
Unknown 088,,0,8660.061501,0,10058.11129,15044.53932,0,54471.49729,74003.50084,72104.78707,69377.58699,85738.1225,60127.10431,0,0,0,47519.17987,56999.78086,66066.0267,23792.15497,21200.44746,17602.27643,77139.21558,77175.87426,45305.39707
Unknown 089,,483321.6835,542550.6841,994627.5745,639038.9317,244268.4404,309583.0911,550338.2762,494839.338,535765.4293,136310.8523,270981.6374,36260.07137,314615.8856,267779.9377,227676.5679,299136.5723,46633.60112,271003.288,61024.96803,100934.4499,105466.8717,231359.4063,41124.00952,81075.64849
Unknown 090,,15497990.21,22737528.45,25462328.85,4252489.074,2362301.944,3703965.522,10951667.9,17551075.79,13314357.66,347124.0229,461714.8676,355965.1269,9064193.805,10778350.27,164286.0106,5097520.291,4188603.026,6508519.623,8240044.762,5332805.48,357138.3922,6537112.379,6265273.226,4952057.711
Unknown 091,,6863622.846,10140212.14,11361425.33,351063.4686,125792.4513,229972.7877,4158886.617,7688876.287,5104407.369,217316.536,258215.0243,180791.3714,3638525.492,4528911.146,2729382.365,185733.9465,210414.6172,160167.5174,3321310.96,2284596.48,104647.9776,312797.4248,236733.0659,233512.4213
Unknown 092,,125043.7394,265502.824,469338.7359,206263.5085,193825.068,191635.3897,93045.36147,187880.6848,113884.4164,301052.4787,247678.8744,206052.7391,223316.7918,99511.54426,167834.2907,192681.1589,192461.4278,307128.9217,222728.6572,189592.9239,223942.0101,264716.1092,244194.3046,246957.7955
Unknown 093,,0,0,0,1174424.506,1199517.325,1058506.796,0,0,0,0,0,70101.56981,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 094,,6023699.842,91991.61697,10009838.99,1491311.659,776475.1349,1302965.989,79244.81443,122052.1634,81108.53996,33205.23035,89306.09435,49746.74584,177555.1244,209064.7978,229441.7481,139185.5053,76049.87532,312927.593,333789.9992,300213.7225,188122.2903,246057.7434,205286.427,194923.172
Unknown 095,,0,143868.4341,0,0,0,0,0,0,0,34930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
