m/z,RT [min],Name,model_metabolite,mass_difference,Tags,Formula,Foston_In_1-B_Met_LC_HILIC_Neg (F33),Foston_In_1-C_Met_LC_HILIC_Neg (F34),Foston_In_1-D_Met_LC_HILIC_Neg (F35),Foston_In_1-E_Met_LC_HILIC_Neg (F36),Foston_In_1-F_Met_LC_HILIC_Neg (F37),Foston_In_1-G_Met_LC_HILIC_Neg (F38),Foston_In_1-H_Met_LC_HILIC_Neg (F39),Foston_In_1-I_Met_LC_HILIC_Neg (F40),Foston_In_1-J_Met_LC_HILIC_Neg (F41),Foston_In_1-K_Met_LC_HILIC_Neg (F42),Foston_In_1-L_Met_LC_HILIC_Neg (F43),Foston_In_4-A_Met_LC_HILIC_Neg (F44),Foston_In_4-B_Met_LC_HILIC_Neg (F45),Foston_In_4-C_Met_LC_HILIC_Neg (F46),Foston_In_4-D_Met_LC_HILIC_Neg (F47),Foston_In_4-E_Met_LC_HILIC_Neg (F48),Foston_In_4-F_Met_LC_HILIC_Neg (F49),Foston_In_4-G_Met_LC_HILIC_Neg (F50),Foston_In_4-H_Met_LC_HILIC_Neg (F51),Foston_In_4-I_Met_LC_HILIC_Neg (F52),Foston_In_4-J_Met_LC_HILIC_Neg (F53),Foston_In_4-K_Met_LC_HILIC_Neg (F54),Foston_In_4-L_Met_LC_HILIC_Neg (F55)
187.09711000000001,4.336,Azelaic acid,N-Acetyl-L-glutamate,0.047940000000011196,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H16 O4,2242583.296,1509811.333,1950319.501,1489133.937,1891312.281,372448.5786,369754.2711,334037.4206,600368.8473,345810.2354,677936.6392,831639.1815,157221.3338,697327.7444,1158338.233,1096086.9640000002,1134884.495,460622.8477,489567.2497,343912.3986,347059.8616,581776.0227,308914.7438
116.07122,4.458,Betaine,D-Proline,0.00011000000000649379,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H11 N O2,21205138.66,32176117.54,125776942.2,137891981.3,102997962.1,16571773.01,10032907.59,16988261.15,24958166.57,30913996.2,29183927.18,5789840.042,79929.81784,5394913.319,13353181.86,19596667.64,13600263.18,7940327.6,6507169.532000001,5520457.477999999,46351077.46,36131946.03,25458802.72
174.08785,5.367000000000001,Citrulline,2-Oxoarginine,0.00019000000000346517,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H13 N3 O3,46945627.84,47346062.83,15247970.43,19769949.61,13205322.11,12365848.88,11875774.74,12098031.43,63914930.78,14536546.98,24568620.79,11135113.06,9757.621222,9173741.44,35512288.12,33054759.34,37308396.1,18316457.81,14780395.24,11749332.17,4493908.0819999995,8001821.212,3292397.2339999997
328.04433,3.971,Cyclic adenosine monophosphate (cAMP),CAMP C10H11N5O6P,0.0009099999999762076,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H12 N5 O6 P,1890359.024,1583114.8530000001,804071.6908,664761.0047,599090.5618,897401.4564,1113794.778,441580.6689,285048.8043,163809.6956,301897.3671,507490.85299999994,13822.46614,477817.9474,1132316.5,945619.4159,1018358.845,354713.9064,240562.6357,253471.4311,224495.9039,376702.44299999997,213441.4738
322.04367,5.442,Cytidine 5′-monophosphate (CMP),Pseudouridine 5  phosphate C9H11N2O9P,0.022359999999991942,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H14 N3 O8 P,1266813.867,1349080.955,1161524.812,991734.3005,1131865.574,1404827.615,2229255.6,1626687.753,1600119.5659999999,1172733.649,1250362.645,1370572.284,12893.29753,1504984.199,920543.7478,865157.1633,1216992.435,791312.9508,488950.68100000004,469177.9825,1269188.619,1009940.317,1125084.977
118.05051,5.032,DL-Allothreonine,L-2-Amino-3-oxobutanoate,7.999999998276053e-05,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H9 N O3,20675318.12,20897005.07,20726099.57,22336382.54,19500762.25,37742561.68,18723240.44,39347191.62,23183437.88,52553360.32,40706452.39,8793852.288999999,36106.53448,8676193.236,9375825.599,10008723.04,9130610.571,23141785.52,22165378.25,16776583.32,46576867.21,69604315.49,43340827.35
160.06073,5.126,DL-alpha-Aminoadipic acid,L 2 Aminoadipate C6H10NO4,0.0007999999999981355,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H11 N O4,1033374.682,1171609.689,2607439.285,2664619.341,2129941.504,227410532.3,195369006.0,225524193.4,171839252.4,159289288.8,171061985.4,2809211.19,8646.463955,2504163.7630000003,57531172.0,51837387.18,55002913.58,16507744.17,19185712.73,15896165.04,160108100.7,202032511.1,170862699.9
173.10385,7.153,DL-Arginine,L-Prolinylglycine,0.011059999999986303,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H14 N4 O2,1171434.2179999999,1561550.665,5813935.267999999,6389959.1729999995,3045217.1560000004,2800020.327,1129416.229,2406805.268,9679944.542000001,22521381.58,19348703.17,2697742.0160000003,13867.735019999998,1768652.924,8403762.732,7293029.022000001,6484022.691000001,4145444.81,2793617.35,2091878.124,17778531.44,21652144.06,14497801.31
132.02964,5.212999999999999,DL-Aspartic acid,4-Hydroxy-2-oxopentanoate,0.013340000000027885,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H7 N O4,189160102.1,163251194.1,96120388.16,64726677.31,72851351.33,381693934.7,222781432.5,393527157.5,143147085.5,413307203.6,366515676.9,82117426.75,3719375.14,73859886.14,99211881.83,96288798.76,91595478.48,238022926.0,175743091.6,143123993.2,327453184.3,437972402.1,306129005.3
146.04516999999998,5.038,DL-Glutamic acid,D-Glutamate,0.0007100000000264117,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H9 N O4,2027465066.0,2060660548.0,2074319882.0,1920587438.0,2117243594.0,1651350392.0,1693617842.0,1696819858.0,1704742422.0,1187630907.0,1238642615.0,2023678236.0,12919329.49,2000000152.0,1879091354.0,1925584940.0,1939529586.0,1748081476.0,1557482794.0,1219334718.0,1169277618.0,1282426949.0,1104509405.0
154.06172,5.848,DL-Histidine,L-Histidine,0.0011999999999829924,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H9 N3 O2,1102736.854,3611413.311,5361570.0430000005,5884997.989,3932246.0710000005,4413845.902,3521048.22,5573950.759,16896721.48,21660611.11,24712925.13,2927355.1580000003,14044.838069999998,2349410.721,12470281.89,10058689.21,9609201.603,3755787.87,3635160.902,696147.558,18252135.03,16852210.41,14515913.31
89.02411,3.228,DL-Lactic Acid,D-Lactate,0.00030999999999892225,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C3 H6 O3,15550827.42,26908454.45,9787558.863,7842459.078,8757713.365,11728293.8,13194355.4,16262851.2,15100705.92,12140774.03,13962997.49,13184372.53,25435.34205,16554780.4,18756860.34,17816599.6,15933549.42,19650125.96,17032240.83,15458247.35,14201083.69,17616225.83,8799906.407
131.08196,5.367999999999999,DL-Ornithine, R  2 Oxo 3 methylpentanoate C6H9O3,0.01097000000001458,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H12 N2 O2,29957528.82,29378542.38,9533010.242999999,12278327.5,8371812.652000001,8064981.796,7473564.748,7919151.7870000005,39942189.72,9001853.518,15582717.86,7180293.315,9790.384479,5974127.776000001,23044723.46,21042979.2,24406218.84,12132039.7,9446232.546,7591633.478999999,2812753.163,4983301.552,2474096.7569999998
164.07108,4.173,DL-Phenylalanine,L-Rhamnulose,0.00261000000000422,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H11 N O2,17325776.4,18248289.72,8398072.193,5879847.946,6922560.558999999,15576808.73,10908423.76,14400111.31,11564906.13,12738176.97,12277709.66,1762270.865,11341.4573,2205033.642,22986287.14,24529395.91,18170317.94,6078389.862000001,5599044.493,3394516.1210000003,26291340.1,34806836.06,23913708.11
114.05559,4.62,DL-Proline,1-Pyrroline-2-carboxylate,9.000000000014552e-05,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H9 N O2,16377683.96,20860443.18,21904821.05,25719939.61,13660325.21,26624279.5,16567847.6,20401890.36,114522647.2,97979104.07,113171697.3,10564224.44,13711.07427,8705309.821,78342099.44,80889195.33,69413782.24,16505103.76,16527554.0,10506267.32,68296935.98,84094344.61,56188798.95
118.05051,4.845,DL-Threonine,L-2-Amino-3-oxobutanoate,7.999999998276053e-05,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H9 N O3,3783087.4869999997,4517950.581,3321418.459,3032949.7819999997,2966071.8430000003,6578604.382,3715429.604,8434962.301,3483804.604,12919859.67,10257728.65,1243329.993,26832.09535,1128782.368,1439139.418,1903843.707,2474651.671,6648679.991,5738027.623,5707004.3379999995,11632106.87,17302384.7,11465667.41
180.06616,4.439,DL-Tyrosine,Myo-Inositol,0.002769999999998163,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H11 N O3,7678223.172,7636819.518999999,6974828.677,9270718.537999999,4766956.25,8476606.132000001,5733085.668,7027131.9120000005,28291208.0,24307847.83,26669348.38,2177889.511,15596.531719999999,2112113.613,23143150.53,24325827.79,25552695.61,5603883.865,5450973.931,4148903.665,15491610.52,19820681.44,14068771.58
