m/z,RT [min],Name,Tags,Foston_In_1-A_Met_LC_HILIC_Neg (F32),Foston_In_1-B_Met_LC_HILIC_Neg (F33),Foston_In_1-C_Met_LC_HILIC_Neg (F34),Foston_In_1-D_Met_LC_HILIC_Neg (F35),Foston_In_1-E_Met_LC_HILIC_Neg (F36),Foston_In_1-F_Met_LC_HILIC_Neg (F37),Foston_In_1-G_Met_LC_HILIC_Neg (F38),Foston_In_1-H_Met_LC_HILIC_Neg (F39),Foston_In_1-I_Met_LC_HILIC_Neg (F40),Foston_In_1-J_Met_LC_HILIC_Neg (F41),Foston_In_1-K_Met_LC_HILIC_Neg (F42),Foston_In_1-L_Met_LC_HILIC_Neg (F43),Foston_In_4-A_Met_LC_HILIC_Neg (F44),Foston_In_4-B_Met_LC_HILIC_Neg (F45),Foston_In_4-C_Met_LC_HILIC_Neg (F46),Foston_In_4-D_Met_LC_HILIC_Neg (F47),Foston_In_4-E_Met_LC_HILIC_Neg (F48),Foston_In_4-F_Met_LC_HILIC_Neg (F49),Foston_In_4-G_Met_LC_HILIC_Neg (F50),Foston_In_4-H_Met_LC_HILIC_Neg (F51),Foston_In_4-I_Met_LC_HILIC_Neg (F52),Foston_In_4-J_Met_LC_HILIC_Neg (F53),Foston_In_4-K_Met_LC_HILIC_Neg (F54),Foston_In_4-L_Met_LC_HILIC_Neg (F55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.99593,1.049,Methyl mesylate,Not in Internal DB. MS/MS available but no DB to match. MS/MS makes sense for this metabolite,2614051.244,2826515.435,2866260.722,2791198.845,3176578.096,3251156.474,3402764.92,3088828.028,3275268.278,3229461.378,3433967.214,3347960.219,3492304.441,130039.8662,3533353.576,4094324.238,3401843.417,3741273.546,3765518.099,3921126.609,4628259.798,3352634.729,2993580.025,4268799.51,3518459.824,3995783.454,3643534.849,3800173.289,4690934.769,3754968.091,6141972.109,4438709.869,4272861.134,1555378.219,4142315.254,4253448.305,3544144.451,3231412.785,3720547.75,4625070.118,5203970.112,5715526.109,1943357.128,2193092.895,2296596.917,4119883.056,3596840.555,4485328.795,2513850.101,2620261.125,2742563.534,3230716.517,4391707.746,3631929.478,6435287.973,4629049.007,6523600.535,3193271.697,2890788.894,3292362.857,2873233.16,2761421.672,2539146.115,2213705.037,4360026.766,4774864.005,5625812.47,3572668.888,3993090.875,4490173.295,3688227.835,3293897.594,4443682.365,2331858.022,1736850.412,3186174.874,3235241.729
129.12787,0.806,Possible Fatty Acid,Not in Internal DB. MS/MS available but no DB to match. MS/MS makes sense for this metabolite,2802045.921,3148257.332,2214838.862,2609737.42,3356142.385,2863913.967,2195529.611,2028046.958,1508486.593,1907237.79,2097743.617,2419156.188,2283532.491,6448.363411,2033428.175,2433816.711,3007060.873,3132940.248,2692944.322,5138854.978,3249844.889,2877013.522,2978456.371,3051701.913,2804485.766,1316743.728,1252882.307,1237649.155,2376529.634,1941249.006,1731865.162,1305028.651,2432597.173,173977.3545,1729656.77,2357006.092,1798185.156,1287021.469,2096980.728,2226330.207,1947294.04,1791829.126,552741.985,1110902.906,960550.9712,1926691.274,901238.1076,1275932.843,1158743.446,910370.2266,1392654.492,1103936.716,1913275.288,1396685.244,1743857.6,2099716.686,2349535.557,1985985.659,1739328.47,2122187.671,889627.4739,992775.1833,935001.6253,520380.1135,3630510.229,3138888.707,3545973.207,3841725.643,3207910.093,3736302.015,2392617.247,1971902.799,5070626.548,1094367.827,1305503.886,2550497.011,3227880.672
401.12904,5.432,,MS2 available,484374036.7,488189668.8,516994169,744771230.7,755459697.8,675476198.1,692064732.1,479145813,611887821,835571032.4,737724030.1,764306836.3,302472952.6,45096.48262,231533555.4,408384118.3,334583108.4,334184355.6,211341855.6,229177305.8,161286566.6,494378704,735347291.8,470326454.4,41848.99115,37485.08422,36591.41116,40104.58077,48166.16243,43075.01471,42425.34343,45857.43191,43241.88814,32846.66156,46547.40041,45594.4565,43983.02235,42861.43948,38750.80835,44340.02957,40725.77002,43999.61649,34119.32933,43248.65617,36851.60646,45063.00832,45103.00525,40326.74075,41287.59022,39905.26377,40028.67794,39159.63459,43561.22659,39716.13474,47385.62185,37345.50902,42812.06749,43218.28723,42009.93623,44635.1027,38580.58303,37505.63804,40675.98874,34707.72159,43029.55166,40117.91323,41195.21099,50397.89667,46299.16444,50729.15422,44819.49666,42097.19632,56517.81054,40537.90297,38677.57596,40282.83769,36293.69645
141.06629,4.849,,MS2 available,305617319.2,259239033.4,259660454.5,598591204.5,660976396.2,582484985.8,602378600.5,556065420.6,669751886.3,913501297,1013119501,1085883418,320494890.9,759866.9087,297543311.8,576210854.5,566581635.2,572491313.9,526530369.9,498650948.6,412405895.1,967452578.8,1190141119,1016778462,5443127.488,3400766.496,3281241.452,3209143.311,4462694.127,4663762.021,3756189.923,3986708.337,4864385.063,1504884.2,4046037.784,4569294.275,4511966.235,3827953.61,4744036.995,4694728.258,4029418.659,3819673.832,1965128.577,3348575.817,2688390.567,3915556.694,2887126.142,3327260.035,3517269.481,3365664.731,3570873.768,3871351.548,4076309.104,2970041.882,3405410.561,4223509.237,4501626.803,4596803.461,3695481.306,5312452.139,3124616.347,2780969.579,2902168.026,2455795.244,5808853.444,5338518.096,5349123.427,6973338.658,5836161.665,6186618.15,5814158.247,4175335.439,6939214.679,3187298.572,3470812.185,5528774.619,6156859.707
439.08391,5.439,,MS2 available,125864313.5,87568278.03,278697908.7,184401230.2,219132964.1,151273678.3,210061539.9,93130272.2,142413865.9,115927300.6,222010604.2,178471044.9,219409256.2,9933.721271,126103750.8,263756164.1,209919798.3,75808756.4,76929126.51,62384063.7,47898979.89,250411774.7,682673441.7,110741221.1,30358.03711,27192.3778,26544.09072,29092.60935,34940.63073,31247.41742,30776.13378,33265.83464,31368.47051,1744182.785,33766.35064,33075.06739,31906.10306,31092.48597,28110.55764,32165.08274,358169.3459,31918.14076,1095501.984,88321.10522,26732.84124,32689.54498,32718.55951,29253.76834,29950.78642,28948.02109,29037.54802,28407.12781,31600.12456,28810.82337,34374.41207,27091.12735,31056.67061,31351.34997,30474.78967,32379.13429,27987.07302,27207.28792,242262.4275,25177.62725,31214.43768,29102.28097,29883.77281,36559.57229,33586.27564,36799.87268,32512.89709,30538.08976,40999.07172,29406.94934,28057.4335,29221.92024,82861.45234
156.99018,5.771,,MS2 available,1153896858,993151662.4,1024802122,1027172087,1013062371,969753839.1,979671044.1,1000125245,1060932703,946378208.3,919819349.7,938268034.5,1047873385,16931888.86,1007059622,1003229061,1047392838,1009182881,918071298.9,872323873,748611548.4,985554087.1,1001222029,959512625.7,16684.38245,15001.09339,15452.82082,15565.32759,17185.05215,15789.41245,16479.86374,16722.84322,17494.26254,14146.89179,15204.70903,17308.017,16634.14236,19048.71547,15674.07295,15924.67269,15779.09128,16835.70554,14800.7433,16413.3943,16407.743,17616.04514,21078.36295,15926.02748,15872.49949,15514.27548,16200.80515,15135.31879,15864.55969,15393.14517,16116.74211,14669.98702,16620.24175,18208.35816,17127.04862,17178.92631,14834.75031,14576.84179,15197.69153,15876.85215,2658454.773,15226.33754,856060.8105,2781010.009,2241996.833,2193527.092,19292.05738,18910.4603,25309.2423,15479.02894,14145.33019,15668.05218,14440.97815
194.9459,5.352,,MS2 available,117785730.2,90297446.28,99241333.58,90424151.29,65059849.26,66605503.55,38408489.19,60729256.34,77339622.54,51248142.36,80212573.26,82341801.12,183888818,31075.52919,199259594.3,217871303.8,296148770.8,193883638.2,233370055,178715273,183221716,147898841.8,140234832,177665946.2,25907.27671,19340.19155,73041.65678,18773.176,19686.87426,18844.7396,644745.4683,462105.8748,19420.38647,19226.02247,724885.4991,1051743.192,19723.6812,1520518.113,1130192.288,19225.07564,19160.82406,2464845.277,2216255.767,19478.4073,19198.52718,98631.52508,20710.90092,20930.34643,1164931.114,4722506.719,2775070.89,19393.31231,20497.30327,1261089.331,1242410.411,19108.58129,3230672.413,19907.28844,18993.35779,478299.8973,20454.14522,19243.30079,936082.2023,208585.8498,29381.8295,1313542.497,29023.73717,27485.5919,267755.7244,670441.8693,20341.59554,1214786.622,19871.62401,21289.62606,19027.81702,4073202.445,21783.45006
267.07225,4.821,,MS2 available,52486872.52,54132950.31,62886970.2,98521805.93,98642645.93,98692362.78,117788847.5,116821560.7,119125080.6,169647698.9,204633510.2,213962191.9,101698218.1,8667.106605,81566589.79,77780014.19,77786153.42,71679836.45,66580673.52,64458095.22,56082866.11,189137413.9,259776432.3,223412478.1,22019.93076,24025.9351,22301.87373,27599.26591,25546.79288,27489.17453,27450.63535,21444.86928,29728.45128,21183.42465,20865.3946,29396.91567,21595.26027,24846.66898,30413.77097,26659.68814,26147.92567,26128.47447,21993.49078,24677.21456,30770.87071,37839.64494,40702.74729,29367.30271,28458.69626,24314.54131,22010.31687,27279.15509,23910.81707,24232.37359,21778.62488,22687.01638,21897.65561,35417.20786,35866.18314,32542.8878,21800.2956,21261.54621,21891.4127,21573.17814,39425.07163,29851.02451,40332.74849,42572.5772,42743.29307,41088.31807,39103.43971,38494.01225,37143.59565,23366.58215,21693.37049,25691.26012,21617.03194
157.06103,5.059,,MS2 available,91461363.02,85757882.57,94783498.16,270252878.5,309623113.6,255775555.2,109430171.7,99646235.98,113152363.4,207010441.2,176481637.4,206481902,258503571,663138.5397,205938864.9,278316585.7,282351985.8,273000896.2,197927433.5,187431015.1,170511101.2,193790838.8,255623249,227621846.8,2483330.435,2988402.036,2351982.847,2901238.036,3683422.931,2683929.857,4936675.254,2976098.039,3070267.291,631080.9417,3525503.136,3699842.796,3109233.798,2300157.62,2290129.564,3368622.407,3995570.543,4678615.392,1123144.641,1414425.498,996134.0504,2897260.449,1986994.048,4325642.084,1443486.761,1112943.653,1783503.176,1733632.078,2304339.75,2421990.822,6449851.26,4150835.148,5290806.91,2334531.712,1966837.104,2137873.34,1829276.748,1265423.864,1495018.003,982363.1052,3408018.533,3987558.561,3826039.357,2925669.539,3018528.262,3241924.568,2528570.417,2330331.228,2902622.099,1813132.187,1138311.128,2077929.904,2023492.369
226.97822,0.709,,MS2 available,156015101.1,120006583.8,145556532.8,92575402.24,101884356.9,88182958.04,162910786.9,157515711.6,143241045.1,138060204.2,89834085.99,118791566.8,154621562.6,8634.508456,119944101.3,131589658.4,126417267.3,145046122.3,111272644.1,97661998.87,88309462.74,90439331.51,119619215,94907984.51,11903.95276,427447.5039,12216.67677,215628.6191,12107.8479,201242.5614,11719.70062,12290.68181,12173.68576,11755.82986,12944.44927,12871.48982,11443.78288,206619.8083,11390.76569,366618.5083,13026.5581,12106.336,12043.74824,12195.80465,12693.90049,12708.95092,12711.4936,12227.45078,12984.01773,12232.49453,523920.6902,321916.2112,163786.0783,11943.06709,11883.78873,265947.7752,12350.77161,162510.7795,12558.88853,11851.3433,12284.26934,12017.65249,12247.80778,175382.2368,11733.91862,211181.7605,11890.91621,12864.02753,12613.72542,13923.78299,12241.95112,12443.7527,12496.60647,12021.6099,12784.37139,11682.04746,251374.4011
96.96835,5.377,,MS2 available,167062814,117302015.4,90561964.02,228475148.2,203162884.1,112541050.3,42851371.75,84695008.83,106872471.1,150094523.9,71427711.73,134797146,135150676.1,16002.13406,224928266.4,233572866.4,367496415.8,318903255.5,214500641.6,317663125.9,184602576.6,305489238.6,173732422.8,229945028.6,6382829.349,565995.6243,356334.5934,451432.4274,2971539.055,1093369.639,1328501.561,405145.554,1219543.382,11948.71813,726090.9598,1000809.872,1007582.378,562608.6669,2636602.836,1409250.893,1303791.847,2242681.917,15453.63559,282842.0471,12204.2558,3188124.258,165755.1265,562791.5059,575242.3513,876391.8096,197298.6376,1662345.412,945224.0983,440237.3472,1111952.661,1634506.008,2671643.13,1307970.602,472655.808,2290658.526,17577.58913,11847.8004,11678.41201,12584.93972,8336975.331,5488782.751,5915567.419,6765245.077,4948227.018,6235437.193,3115426.599,682314.9174,12279702.82,11886.31791,1325385.673,2121191.472,4625383.567
267.07227,4.94,,MS2 available,36981339.65,39742853.49,46451609.93,84922316.42,69154149.35,71291371.11,71285749.17,72285014.44,78627768.31,100754159.4,133389546.9,114593739.8,63019234.41,16149.67642,49238711.84,49539712.71,44159456.5,45965054.6,43149438.47,43823695.13,37732932.5,116901880.9,143067951.8,112554029,2337899.518,1036865.848,1121589.742,851825.7406,2103285.741,1823677.814,1434263.188,1188563.473,1879304.283,26801.31183,1416023.075,1864041.309,1684177.363,1265764.39,1812875.152,1917865.098,1407822.509,1603903.772,528956.9667,1251970.3,967893.394,1470791.618,919966.3263,1139708.096,1179675.122,950256.1766,1432975.442,1341363.585,1537331.917,1008031.453,1175371.063,1079828.835,1877094.808,1871227.946,1515889.442,2217191.371,817155.8841,914683.6385,1018376.492,677392.2481,2828276.02,2413022.443,1303428.06,3073764.423,2516272.331,3056153.656,2292042.085,1780828.619,2559526.193,1121205.955,1307976.881,2362997.472,2770785.311
203.01927,5.339,,MS2 available,26858.80426,66551.5557,163908.7655,529767.0266,472508.0721,420797.0628,9324639.603,1903363.558,156038279.7,355826.6335,73880726.27,12299691.19,63807.49034,6880.765281,26674.65445,27427.21976,28043.53209,141569.5987,21001.66569,21837.74443,18637.58413,76459398.98,99419131.22,94228229.42,3497616.56,3241570.377,2668773.654,2720739.741,3161490.807,3474556.7,4233739.143,2956191.458,3275815.274,782849.9741,3306549.491,3761423.837,3609398.597,2345169.124,2244591.236,4041328.537,3456618.209,4061755.701,1639673.112,2040803.672,1468011.728,3459278.927,2042504.481,3502139.317,1838943.894,1293515.773,2280901.994,2145400.817,3294962.195,2826601.065,4868305.803,4586328.968,5144744.026,3088800.734,2427131.283,3221968.897,1976285.54,1634888.253,1612138.9,1094573.339,4430580.739,4474070.574,4460164,4558577.956,4125321.405,4341015.441,3422133.507,3166611.617,5331442.672,1754061.894,2517862.112,3186417.255,3549696.51
245.11423,4.803,,MS2 available,5949619.422,4488376.237,5215072.318,83784557.97,108291250.1,43427369.17,2814182.7,2426078.844,1960307.098,11418823.45,6091267.681,6235878.203,4627379.57,8581.368356,4284702.525,36636083.8,45169955.17,39166364.99,3169424.076,2962624.407,2237559.764,6226670.65,10111317.91,5977390.418,2013666.846,919375.2852,1175871.847,1272107.885,4501874.437,3096023.451,2168401.317,1210674.763,527207.1178,18757.26168,763357.0115,3888604.952,2188163.454,639234.1467,4174455.136,2595255.607,1769218.254,3375034.204,1085548.733,962239.083,797946.9993,1059927.12,1506135.183,3547956.106,726179.7655,93194.30157,18756.29581,914856.3848,826955.2322,1040599.011,1384662.884,3404482.819,1183681.292,2249012.726,1381567.519,1947219.47,19599.70034,21308.55955,19904.43324,19725.13336,751489.8556,2496672.066,709845.3756,1079879.533,2688558.408,884805.2204,782834.598,455355.0617,1558529.961,757008.0047,2440862.7,928236.3494,19936.13569
194.9272,5.388,,MS2 available,43798865.64,33499571.58,24010549.42,59244694.19,54143599.08,37903797.36,28762215.28,33280700.69,34310589.81,40572204.71,43135674.25,46194211.77,36697666.57,380561.9171,41202986.58,52970785.59,50364918.2,50465662.26,65110308.88,72606677.12,59790997,69524525.82,41686728.66,53706741.06,33796.15635,22488.50303,21500.52371,20833.11235,22304.52483,21783.22684,22228.73454,22745.73473,21770.55561,20624.83272,22633.28158,22592.72372,21569.14917,37309.17826,22185.79953,22018.38708,22646.67134,22360.88412,21681.13261,21633.52316,22366.43713,22649.06327,22964.12651,22255.24353,21188.28303,21506.92675,21851.64489,21830.02796,20950.14064,21432.27285,20736.49145,21410.96772,20749.95298,20994.44238,21162.31795,22056.74897,22016.48298,21387.72247,20845.60301,20946.57334,42276.20707,23225.15368,42110.30382,36812.17754,37478.48528,35802.53139,23890.77591,23651.28339,22369.91928,22115.31921,21228.67778,22467.11171,25592.73776
733.50111,0.951,,MS2 available,1195973.558,385838.141,967594.823,12585260.5,42936816.05,35400501.25,293699.2497,327746.1629,1370719.068,12268013.34,714489.8806,15980373.39,284980.4269,4957.843496,11449.05746,108766.1427,648843.564,643427.2233,644667.2603,210385.5,58956.57032,414291.9712,66111.31486,56750.10056,2772865.763,23724.72501,22663.34489,21850.61048,191379.6671,27057.55055,475552.1289,27498.2479,25188.18969,19626.54637,22983.84277,19455.2776,26354.85001,20470.39049,181298.223,28272.39077,19560.70306,493184.6825,19939.17873,22661.66699,25433.51285,30774.18189,21525.1911,345151.6487,23323.55209,26762.38678,25994.72092,20565.09032,183034.4592,19083.63287,286288.1862,29628.4948,818373.8157,24221.01639,26329.85972,25412.71331,26216.00978,22169.02818,21642.49157,19844.37031,2565862.946,3072879.34,3647590.045,3356969.361,2139533.023,1993273.123,2626001.15,1819929.662,3235942.934,1571573.487,1446543.56,2912754.756,1800090.733
269.2488,0.919,,MS2 available,1307976.97,3557930.375,4242011.101,2161608.422,2960576.964,2326191.326,7889753.177,16890825.32,19123882.25,12176921.69,11353279.47,9938473.613,40818975.32,247215.0135,24300611.59,29940634.51,19438477.55,27510976.4,29263653.4,12400766.82,14586766.87,8746516.629,17700278.05,9314755.258,1538325.38,379752.8908,563495.6429,453164.9054,1619835.127,447963.7577,1961148.51,687343.7687,617975.3061,12925.88757,762704.9486,744389.7655,555217.5375,1009080.042,621628.7553,523585.755,415657.3868,1646211.113,85013.31398,488380.3557,15856.24529,662730.9406,672144.4072,967512.9646,542752.5755,193670.5383,466290.3193,254386.7295,375216.9533,546403.5701,1620899.933,318267.7799,1732283.749,829578.6853,302607.0863,724127.1934,164088.5539,236656.664,109349.5985,213122.9675,1162302.405,639019.2131,1472831.449,1557929.551,1443193.879,1570241.636,760057.8931,507947.035,1496162.003,244302.3641,239234.7054,627386.0994,15596.18841
194.92705,5.302,,MS2 available,48962230.19,36968849.84,42221780.13,61480506.31,53898843.87,54852627.61,23460122.47,49175235.84,27690887.38,52694490.01,36538717.81,51435969.6,48395586.84,9376.516971,54203488,48422873.06,51484148.24,64726037.97,61983346.88,75186682.13,77873337.18,73589382.89,47118642.86,64244693.77,2647046.101,30235.17931,26551.8216,335088.5521,347889.0347,31699.96567,659573.6354,32851.60095,32968.19,24625.87466,32852.80241,24198.12583,30876.69887,31820.12182,169547.1244,33123.24282,214458.142,759584.0974,23572.45375,32926.72962,31089.84447,193065.6128,25218.3884,411162.7335,34894.91677,31354.159,173602.3974,31214.14373,215454.08,22583.15478,673585.8559,34712.02119,977984.2147,33924.01548,30847.42086,217391.7635,30714.03705,25972.69221,33515.67939,23928.66216,2279935.407,1498002.36,3315638.413,1302682.818,2422570.632,2512167.129,2191349.989,1568289.849,2579383.973,1454218.121,1114231.268,2569133.13,1481877.7
98.02434,2.854,,MS2 available,583697437.1,594477408.1,575128061.5,469848309,552465222.2,634991766.6,474345429.2,515304995.8,422630404.5,496021598.9,313739858.1,301859153.7,626814337.6,13979820.01,593192422.2,514956304.2,589621730.4,639886556,618498425.5,571514256.4,604384234.1,335348860.1,285816823.8,322767560.2,971767.5462,379752.8908,563495.6429,453164.9054,1619835.127,447963.7577,1871096.578,687343.7687,617975.3061,12205.4554,762704.9486,744389.7655,555217.5375,1009080.042,621628.7553,523585.755,415657.3868,1646211.113,85013.31398,488380.3557,14972.48785,662730.9406,672144.4072,967512.9646,542752.5755,193670.5383,466290.3193,254386.7295,375216.9533,546403.5701,1620899.933,318267.7799,1732283.749,829578.6853,302607.0863,724127.1934,164088.5539,236656.664,109349.5985,213122.9675,1162302.405,639019.2131,1548924.381,1557929.551,1334840.051,1570241.636,760893.6911,507947.035,1496162.003,244302.3641,239234.7054,627386.0994,14332.26511
683.22358,5.433,,MS2 available,24393712.01,29312056.17,33173642.15,53187359.63,56751358.84,47311110.33,50399123.6,23911528.4,39103189.04,66545460.64,51475558.21,48182064.62,9504054.553,7091.483479,6348441.406,18072418.74,10709486.23,11391310.45,4913659.286,5945441.928,3594079.475,27767001.93,53697845.13,23700500.71,1257801.245,2254451.599,1935117.345,2092837.562,1674350.604,1917210.013,2075589.124,2101165.606,2297024.807,2029932.591,2231831.276,2256300.005,2362530.155,1959297.882,1763209.328,2305932.174,2222625.788,1840846.546,1910646.101,2237778.718,930049.0241,2227029.982,1494053.497,2144867.318,1607455.39,1543807.808,2124876.444,2231252.784,2391616.605,2155363.195,2184105.994,2089078.404,2130201.509,1738448.317,2057852.722,1887914.288,2302774.005,2298455.006,2449419.699,1833441.267,1559963.086,2038734.565,37815.62909,1549460.849,1482450.585,651936.8052,1840322.597,1666654.098,1263553.278,2097501.174,1830266.804,1617385.731,34072.59869
165.03981,4.544,,MS2 available,28425402.92,22589125.53,29679208.09,121320187.9,149023911.7,115272469.9,1119539.015,532134.6136,709888.4123,3039391.482,2005669.047,3987462.445,350816.641,15593.75542,288964.424,150141.7319,201819.6894,153970.0898,63021.73265,97559.9644,46387.24104,1330317.513,1260673.628,1026073.36,2262227.439,111387.8073,15745.89882,110873.4084,171546.5265,17368.30794,217501.9331,15656.68378,19173.52383,14939.94048,17495.55099,14809.56883,157693.0672,15582.28379,17401.88731,120431.4546,14889.81983,345482.7036,15031.72321,14544.46464,15334.74633,172383.7325,25763.86726,403334.6621,17754.14142,20371.81977,73838.04789,15654.37033,91662.28382,14526.66882,415999.4524,860421.0261,561750.4771,18437.301,15490.2631,19344.43365,15675.15335,15002.02236,139784.5074,15105.75042,2746400.457,1524021.622,3888764.463,2096771.639,3400844.597,2652653.855,1431301.2,2258920.4,1759750.577,1421240.469,7145025.605,1452374.653,3350506.092
277.08605,4.765,,MS2 available,74676640.69,65350024.34,65337626.45,42580310.45,41494210.64,30548598.57,25508133.38,25195558.2,29325056.61,9772793.93,8986543.198,8054801.765,63636733.73,6561.062131,63388096.61,41486297.89,39117856.84,44927424,27507775.28,24379069.29,18629026.95,26632889.08,34071288.27,23781227.46,3734027.796,1762343.451,3082677.681,3375741.417,4581525.919,4211131.75,1742901.953,3753345.658,489645.9181,25721.31857,2091016.647,3615042.358,2079566.481,430353.6782,3016975.428,1702439.98,1477101.98,7477376.041,1392190.148,2735393.45,1001409.955,2645643.167,2073038.084,4463403.52,1306988.649,206135.6317,23703.84352,3221376.899,1284945.749,3497286.658,3806872.216,2474377.321,1470448.811,3965364.32,3221447.223,1482472.086,24704.6897,31103.46265,26279.43184,27934.86502,2949373.073,1104501.846,1829878.817,2036601.729,2314239.045,808479.3061,1893650.119,2092925.875,3306003.613,812971.2181,1618428.407,1545263.913,24302.46087
114.05557,4.62,,MS2 available,19387228.01,16377683.96,20860443.18,21904821.05,25719939.61,13660325.21,26624279.5,16567847.6,20401890.36,114522647.2,97979104.07,113171697.3,10564224.44,13648.38228,8705309.821,78342099.44,80889195.33,69413782.24,16505103.76,16527554,10506267.32,68296935.98,84094344.61,56188798.95,1552085.842,19518.36178,17017.84839,17976.52535,26024.4342,18771.3153,27413.08789,22622.84392,20722.35606,16146.78495,18908.83702,16005.88191,16985.4203,16841.01659,18807.6072,23259.73226,16092.61557,27250.32671,16245.98187,18643.78258,20924.18374,25317.95903,16335.0674,24705.11137,19188.31631,22017.45003,21385.89034,16918.92626,21567.03128,15700.12931,23702.15611,24375.40079,29165.98365,19926.66134,16741.56249,20907.07193,21567.94497,18238.48801,17805.30566,16325.98898,1032427.391,945563.5819,1703364.332,1562386.685,1511128.425,1196741.619,1376894.137,684395.6006,1110107.868,1005319.508,720090.2921,1345926.524,1125773.118
439.07729,5.409,,MS2 available,5673675.838,5203416.86,6659404.155,5553851.403,78390660.23,7967890.132,55133173.2,1723866.137,41416128.29,7957954.068,6967758.843,6696452.138,7527484.802,12449.25173,25241067.27,8265918.981,45574037.39,3458960.4,23843934.47,39357784.03,17175272.21,53462866.37,4860175.002,61049370.4,3398873.513,1740963.686,2325974.129,1472477.636,3086370.871,3105222.344,2116580.154,2171205.55,2683227.243,1088783.431,1624826.525,2781192.552,1903644.293,2272169.099,3093428.553,3130196.037,2675683.338,2654614.177,917901.1796,2183541.908,2029629.943,2765010.491,1342371.119,1645851.319,2463268.203,2427474.608,1970621.574,2211392.863,1917808.418,2058546.527,2243394.179,2751461.547,2720034.343,2725288.354,2084361.205,3470580.861,2011424.818,1523019.365,1831903.577,1203218.184,3279755.399,3283745.403,3012639.472,3697999.27,3375781.632,3293352.363,3544735.177,2150889.603,3800017.148,2022268.869,2994774.24,3159079.434,2573783.434
245.11425,4.901,,MS2 available,2432583.157,2212608.852,2757382.989,50638708.14,58457568.12,25429158.27,1289377.058,1422344.731,1247873.911,5569597.279,3131716.339,3043836.474,1739147.825,6531.24812,1606427.85,20668123.13,19865332.48,18244101.3,1158901.818,1045639.235,696225.0317,3045222,4005540.166,2720435.9,2038571.879,23296.20426,22253.995,21455.94036,31061.54817,26568.83163,32718.9803,27001.56902,24733.23555,19272.04775,22568.70399,19103.87247,25878.82341,20100.65018,22447.88081,27761.72917,19207.39371,34093.16398,19390.44455,22252.3474,24974.12763,30218.33243,21136.39877,29486.86611,22902.2774,26278.99917,25525.19905,26161.64755,25741.4004,18738.94046,28289.78559,29093.33897,173244.8052,23783.53153,25854.2845,24953.70377,25742.49094,21768.60674,21251.58054,19485.93731,1566964.624,1962639.892,2852112.081,1904118.965,2123747.576,2321865.358,1493554.979,923530.5913,2275935.154,916876.9338,640761.0841,1885296.232,1188210.747
188.05595,4.723,,MS2 available,47513113.06,36776006.63,34194768.77,5991014.093,5790020.117,5032153.878,23705880.21,9691611.384,21408874.96,43364407.88,34445549.56,46635951.73,3341254.107,6646.004439,2745625.535,3577775.708,5674187.738,4205161.124,10798552.68,6689633.841,5779467.753,34201512.33,39820287.64,30498588.74,1962407.81,1325103.91,1124727.488,764512.7783,1760728.084,1508528.834,1257932.864,1452061.512,1674948.618,405206.7063,1202193.617,1382796.802,1793076.587,1203104.362,1806131.26,1660170.033,1037457.565,1311039.257,396730.142,1252879.412,986401.4512,1397015.697,825476.0599,990979.0971,1343654.593,1075004.066,1321480.64,1342097.683,1630453.698,673323.2137,1055803.147,1120134.35,1507061.343,1557784.349,1341344.861,1839686.821,1194424.737,893212.4394,811870.0105,677602.63,2212029.434,2063284.803,1701152.293,2888344.624,1982693.012,2612873.498,2246383.507,1614353.206,2163718.416,1083732.55,1019231.849,2032886.619,2365056.539
259.13003,4.651,,MS2 available,86773378.59,86843445.99,78741444.42,73360014.6,71288385.68,45549150.39,43108219.32,11956252.82,19317611.27,94372196.21,76489848.97,83964561.8,33693673.29,9301.702969,30284680.93,75957225.31,96124816.44,84894663.64,27792141.1,31073607.27,20213235.08,99344932.9,118909385.8,70168240.02,2048224.83,2072908.019,1794517.091,1514697.556,2253374.963,2129446.811,2575366.749,1701719.839,2285722.96,199885.425,1858224.233,2540451.28,2236614.262,1268982.535,2084994.654,2420974.895,2030988.001,2503890.754,725773.964,1292598.799,850837.577,2252823.32,1322182.928,2043573.323,1161458.553,863493.0645,1328666.581,1423152.593,2127088.702,1509949.237,2707845.712,2466282.193,2915858.513,1957273.461,1619997.794,2082966.594,1108345.092,796635.3297,861829.0829,466342.0513,3095214.266,2930563.71,3350204.095,3209101.371,2601496.552,3066303.639,2195264.88,1842683.698,3791964.505,1109373.2,1163379.459,2171479.561,2174328.029
