,PVHG-B-R1-12hr,PVHG-B-R2-12hr,PVHG-B-R3-12hr,PVHG-Glu-R1-10hr,PVHG-Glu-R1-13hr,PVHG-Glu-R2-10hr,PVHG-Glu-R2-13hr,PVHG-Glu-R3-10hr,PVHG-Glu-R3-13hr,PVHG-Gua-R1-19hr,PVHG-Gua-R2-19hr,PVHG-Gua-R3-19hr,PVHG-H-R1-11hr,PVHG-H-R2-11hr,PVHG-H-R3-11hr,PVHG-M-R1-20hr,PVHG-M-R1-32hr,PVHG-M-R2-20hr,PVHG-M-R2-32hr,PVHG-M-R3-20hr,PVHG-M-R3-32hr,PVHG-P-R1-21hr,PVHG-P-R2-21hr,PVHG-P-R3-21hr,PVHG-V-R1-24hr,PVHG-V-R2-24hr,PVHG-V-R3-24hr,WT-B-R1-12hr,WT-B-R2-12hr,WT-B-R3-12hr,WT-Glu-R1-10hr,WT-Glu-R1-13hr,WT-Glu-R2-10hr,WT-Glu-R2-13hr,WT-Glu-R3-10hr,WT-Glu-R3-13hr,WT-Gua-R1-19hr,WT-Gua-R2-19hr,WT-Gua-R3-19hr,WT-H-R1-11hr,WT-H-R2-11hr,WT-H-R3-11hr,WT-M-R1-20hr,WT-M-R1-32hr,WT-M-R2-20hr,WT-M-R2-32hr,WT-M-R3-20hr,WT-M-R3-32hr,WT-P-R1-24hr,WT-P-R2-24hr,WT-P-R3-24hr,WT-V-R1-24hr,WT-V-R2-24hr,WT-V-R3-24hr
13PPDH,76.35146645272752,72.22387739541824,96.07197487330323,18.781862027532288,27.521219343972298,22.16492892693778,20.775290168778948,23.44085230805411,25.236495139562912,111.4165643239632,74.1412541431265,87.2275627168467,109.08895173803819,93.2850893707223,72.181649382221,16.56338097192981,18.89356263229897,20.240501423966542,16.05247085655537,17.69958815019572,15.77337005303009,379.0345089235711,229.803596046489,245.89603439026598,7657.311048651296,5125.510295134594,7918.619256491987,78.14951899511267,76.1707271587162,85.88627123908614,31.3053211727198,28.060076344605875,35.21678379820249,34.9073680623403,27.15918693040016,30.0821695795832,118.0599652941349,72.40733389090413,95.83295704784399,62.50867078843709,83.61705835048036,48.92699486577381,45.47070343081557,18.577524749181112,48.81759191154783,26.50436088243508,50.54998806092089,23.66360875994292,715.621039059,1305.1696313669581,2231.3409337847256,19510.85411598821,16723.91627279053,12792.173885629303
2AGPEAT120,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPEAT140,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPEAT141,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPEAT160,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPEAT161,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPEAT180,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPEAT181,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPGAT120,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPGAT141,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPGAT160,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
2AGPGAT161,0.615575331486951,0.772983345212208,0.5814541334912879,0.49350208881057,1.77006440555227,1.17078833822107,2.94652688555761,1.13472970171957,2.2278654185821,0.0943662628824031,0.681716271513629,0.58010012861391,4.94507582112417,2.02329384840738,2.3966096136560897,13.486218066366101,1.07540741885249,4.23521052647052,1.47176376202133,9.20539436504727,2.97864744047854,1.0462573170589,1.52541017660003,0.49085273143458,1.1525858338191202,1.0814757172406402,0.318130624810437,0.692011007895654,0.667986428768989,0.8328240906118419,1.1113587860600602,0.7666393547690848,0.8661314086759331,1.44190215774174,0.496607924947002,0.487360263556327,0.513668186296718,0.5676916697477271,0.18832154241445806,0.859610312368322,1.06828823202448,0.735460059742731,2.36514428624594,2.69173604154056,2.00634937289378,2.03666844737303,2.3368000953314,2.7223711710784,0.470524513726899,0.471294736989673,0.392764466932725,0.7343809618319209,0.8131605858098921,0.37832777095575504
