,PVHG-B-R1-12hr,PVHG-B-R2-12hr,PVHG-B-R3-12hr,PVHG-Glu-R1-10hr,PVHG-Glu-R1-13hr,PVHG-Glu-R2-10hr,PVHG-Glu-R2-13hr,PVHG-Glu-R3-10hr,PVHG-Glu-R3-13hr,PVHG-Gua-R1-19hr,PVHG-Gua-R2-19hr,PVHG-Gua-R3-19hr,PVHG-H-R1-11hr,PVHG-H-R2-11hr,PVHG-H-R3-11hr,PVHG-M-R1-20hr,PVHG-M-R1-32hr,PVHG-M-R2-20hr,PVHG-M-R2-32hr,PVHG-M-R3-20hr,PVHG-M-R3-32hr,PVHG-P-R1-21hr,PVHG-P-R2-21hr,PVHG-P-R3-21hr,PVHG-V-R1-24hr,PVHG-V-R2-24hr,PVHG-V-R3-24hr,WT-B-R1-12hr,WT-B-R2-12hr,WT-B-R3-12hr,WT-Glu-R1-10hr,WT-Glu-R1-13hr,WT-Glu-R2-10hr,WT-Glu-R2-13hr,WT-Glu-R3-10hr,WT-Glu-R3-13hr,WT-Gua-R1-19hr,WT-Gua-R2-19hr,WT-Gua-R3-19hr,WT-H-R1-11hr,WT-H-R2-11hr,WT-H-R3-11hr,WT-M-R1-20hr,WT-M-R1-32hr,WT-M-R2-20hr,WT-M-R2-32hr,WT-M-R3-20hr,WT-M-R3-32hr,WT-P-R1-24hr,WT-P-R2-24hr,WT-P-R3-24hr,WT-V-R1-24hr,WT-V-R2-24hr,WT-V-R3-24hr
13PPDH,93.28182343220661,88.20822145554594,117.16479698813615,22.9952233302173,34.1539133123092,27.172482192261594,25.612521256771462,28.767951080420023,31.05721884474522,136.9824446651474,90.97639986603681,107.04935733389641,135.2498017380746,114.94107542374711,89.07873232012041,20.28949638015289,23.18578395045968,24.784452000905485,19.65687680555694,21.68507669501591,19.265891645015202,477.73155354226327,287.735070791711,307.203127084721,9722.61510410632,6504.0512002225005,10057.787507434401,95.4476942970318,93.32358237960091,105.0757498643149,38.41522779895205,34.50797063686608,43.3498770042304,43.3003217969844,33.31365146446475,37.6580838848657,144.8568941429686,88.7233956815328,117.3401399337703,76.6038864499322,102.19758005897529,60.29595753794811,55.5850040211906,22.79900427184856,59.671338286577196,32.545482572915745,61.753214039265636,29.04963240075373,904.136567561728,1654.1568660126738,2832.183723547317,24800.400521449545,21257.15396946245,16257.048796158884
2AGPEAT120,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPEAT140,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPEAT141,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPEAT160,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPEAT161,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPEAT180,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPEAT181,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPGAT120,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
2AGPGAT141,0.568791606293943,0.71423661097608,0.53726361934595,0.4559959300609671,1.6355395107303,1.08180842451627,2.72259084225524,1.04849024438889,2.05854764676986,0.0871944269033404,0.629905834878593,0.536012518839252,4.56925005871874,1.86952351592842,2.2144672830182297,12.461265493322301,0.993676455019699,3.91333452645876,1.35990971610771,8.50578439330368,2.7522702350021704,0.966741760962422,1.40947900317843,0.453547923845552,1.06498931044887,0.9992835627303508,0.293952697324844,0.639418171295584,0.617219460182546,0.7695294597253421,1.0268955183195,0.7083747638066341,0.800305421616562,1.33231759375337,0.458865722651029,0.4503208835260461,0.4746294041381671,0.5245471028469,0.17400910519095902,0.7942799286283291,0.987098326390618,0.679565095202284,2.18539332049125,2.4871641023834803,1.85386682055386,1.88188164537268,2.1592032880862098,2.51547096207644,0.434764650683655,0.435476336978458,0.3629143674458379,0.678568008732695,0.751360381288341,0.349574860363118
