Line Name,Measurement Type,Time,Value,Units,,,,
WT-G-R1,PD630_LPD07573,14,270,counts,,,,
WT-G-R1,PD630_LPD00828,14,50,counts,,,,
WT-G-R1,PD630_LPD01359,14,4896,counts,,,,
WT-G-R1,PD630_LPD06441,14,472,counts,,,,
WT-G-R1,PD630_LPD04112,14,388,counts,,,,
WT-G-R1,PD630_LPD06440,14,68,counts,,,,
WT-G-R1,PD630_LPD07752,14,251,counts,,,,
WT-G-R1,PD630_LPD00350,14,151,counts,,,,
WT-G-R1,PD630_LPD07590,14,1132,counts,,,,
WT-G-R1,PD630_LPD03846,14,88,counts,,,,
WT-G-R1,PD630_LPD07184,14,101,counts,,,,
WT-G-R1,PD630_LPD07588,14,167,counts,,,,
WT-G-R1,PD630_LPD04106,14,4210,counts,,,,
WT-G-R1,PD630_LPD05151,14,882,counts,,,,
WT-G-R1,PD630_LPD04113,14,433,counts,,,,
WT-G-R1,PD630_LPD07180,14,8,counts,,,,
WT-G-R1,PD630_LPD05550,14,1304,counts,,,,
WT-G-R1,PD630_LPD01238,14,86,counts,,,,
WT-G-R1,PD630_LPD00155,14,137,counts,,,,
WT-G-R1,PD630_LPD01633,14,363,counts,,,,
WT-G-R1,PD630_LPD07589,14,510,counts,,,,
WT-G-R1,PD630_LPD05957,14,159,counts,,,,
WT-G-R1,PD630_LPD06562,14,174,counts,,,,
WT-G-R1,PD630_LPD04687,14,2,counts,,,,
WT-G-R1,PD630_LPD07624,14,214,counts,,,,
WT-G-R1,PD630_LPD05150,14,3343,counts,,,,
WT-G-R1,PD630_LPD06897,14,263,counts,,,,
WT-G-R1,PD630_LPD12024,14,48,counts,,,,
WT-G-R1,PD630_LPD07749,14,12,counts,,,,
WT-G-R1,PD630_LPD12030,14,384,counts,,,,
WT-G-R1,PD630_LPD00704,14,132,counts,,,,
WT-G-R1,PD630_LPD12025,14,32,counts,,,,
WT-G-R1,PD630_LPD00409,14,2268,counts,,,,
WT-G-R1,PD630_LPD07122,14,6,counts,,,,
WT-G-R1,PD630_LPD03847,14,47,counts,,,,
WT-G-R1,PD630_LPD06701,14,35,counts,,,,
WT-G-R1,PD630_LPD07696,14,57,counts,,,,
WT-G-R1,PD630_LPD06188,14,4,counts,,,,
WT-G-R1,PD630_LPD00703,14,164,counts,,,,
