reaction_id,reaction,genes
4PEPTabcpp,LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c,WP_005250018_1 or ( WP_005237762_1 and WP_005237763_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_005248478_1 )
4POPCOAM,4poptcoa_c --> 3ptcoa_c + pi_c,WP_005251452_1
4POPCOAM2,3ptcoa_c <=> 2ptcoa_c,WP_005251452_1
4POPCOAM3,2ptcoa_c + h2o_c --> 3hptcoa_c,WP_005251452_1
4hoxpactex,4hoxpac_e <=> 4hoxpac_p,
5DGLCNR,5dglcn_c + h_c + nadph_c --> glcn_c + nadp_c,WP_005245383_1 or WP_005250033_1
5DH4DGLCD,5dh4dglc_c + h_c --> 25dop_c + co2_c + h2o_c,WP_005250027_1
5DKGR,glcn_c + nad_c <=> 5dglcn_c + h_c + nadh_c,WP_005245383_1 or WP_025432033_1
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,
6HNACMO,6hnac_c + 2.0 h_c + nadh_c + o2_c --> co2_c + dhpyr_c + h2o_c + nad_c,WP_005248922_1
A24T,a24op_c + coa_c --> accoa_c + ala__D_c,
A4HBCT,accoa_c + h4but_c --> 4hbutcoa_c + ac_c + h_c,WP_025433310_1
AAAN,acald_c + accoa_c + h_c + nadh_c <=> actn__S_c + coa_c + nad_c,WP_005250553_1
AABTN,4aabutn_c + h2o_c --> 4abut_c + ac_c,
AACLAM,acadl_c + coa_c <=> accoa_c + amp_c,WP_025432750_1
AACOAR_syn,aacoa_c + h_c + nadph_c <=> 3hbcoa__R_c + nadp_c,WP_025433919_1
AACOAT,acac_c + atp_c + coa_c --> aacoa_c + amp_c + ppi_c,WP_005239563_1
AACPS1,ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACPS2,ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c,WP_005238830_1 or WP_025432206_1
AACPS3,ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACPS4,ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACPS7,ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACPS8,ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,WP_005238830_1 or WP_025432206_1
AACT,accoa_c + akg_c + h2o_c + 2.0 h_c <=> coa_c + hcit_c,WP_005238486_1
AACTOOR,aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,WP_005252451_1
AADa,aad_c + coa_c <=> accoa_c + amp_c,WP_005240572_1 or WP_005250868_1
AADb,ac_c + atp_c <=> aad_c + ppi_c,WP_005240572_1 or WP_005250868_1
AALDCDLsi,2amsa_c + h_c --> aacald_c + co2_c,spontaneous
AALDH,nadh_c + pacald_c <=> nad_c + pea_c,WP_005242373_1
AASAD3,L2aadp6sa_c + h2o_c + nad_c --> L2aadp_c + 2.0 h_c + nadh_c,WP_005239950_1 or WP_005241339_1
AATA,2oxoadp_c + glu__L_c <=> L2aadp_c + akg_c,WP_005249323_1 or WP_005252457_1
ABG4t2,abg4_e + h_e --> abg4_c + h_c,
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,WP_005238605_1 or WP_005244800_1
ABTt,abt_e <=> abt_c,
ABUTD,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,WP_005238606_1 or WP_005241094_1 or WP_005241278_1 or WP_005242840_1 or WP_005250047_1 or WP_005250821_1 or WP_005250914_1 or WP_005251153_1 or WP_025431636_1 or WP_025433381_1 or WP_025433525_1
ABUTt2pp,4abut_p + h_p --> 4abut_c + h_c,WP_005239220_1 or WP_005251210_1
ABUTt2r,4abut_e + h_e --> 4abut_c + h_c,WP_005246592_1 or WP_005251210_1
ACACCT,acac_c + accoa_c --> aacoa_c + ac_c,WP_005241236_1
ACACT1r,2.0 accoa_c <=> aacoa_c + coa_c,WP_005239598_1 or WP_005243389_1 or WP_005244682_1 or WP_005248121_1 or WP_005248351_1 or WP_005250252_1 or WP_005250392_1 or WP_005250766_1 or WP_005251119_1 or WP_005252295_1 or WP_025431983_1 or WP_226955882_1
ACACT2r,accoa_c + btcoa_c <=> 3ohcoa_c + coa_c,WP_005250392_1 or WP_226955882_1
ACACT3r,accoa_c + hxcoa_c <=> 3oocoa_c + coa_c,WP_005250392_1 or WP_226955882_1
ACACT4r,accoa_c + occoa_c <=> 3odcoa_c + coa_c,WP_005250392_1 or WP_226955882_1
ACACT5r,accoa_c + dcacoa_c <=> 3oddcoa_c + coa_c,WP_005250392_1 or WP_025431983_1 or WP_226955882_1
ACACT6r,accoa_c + ddcacoa_c <=> 3otdcoa_c + coa_c,WP_005250392_1 or WP_226955882_1
ACACT7r,accoa_c + tdcoa_c <=> 3ohdcoa_c + coa_c,WP_005250392_1 or WP_226955882_1
ACACT8r,3ohodcoa_c + coa_c <=> accoa_c + pmtcoa_c,WP_005250392_1 or WP_226955882_1
ACAC_Et,acac_e <=> acac_c,
ACACt2pp,acac_p + h_p --> acac_c + h_c,WP_005251827_1
ACACtex,acac_e <=> acac_p,
ACALD,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,WP_025431774_1 or WP_025433818_1
ACALDt,acald_e <=> acald_c,spontaneous
ACCOAC,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,WP_005245735_1 or WP_005248630_1 or WP_025433375_1 or WP_025433936_1 or ( WP_005247842_1 and WP_226955725_1 )
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,WP_005250868_1
ACGAMK,acgam_c + atp_c --> acgam6p_c + adp_c + h_c,
ACGAMPM,acgam6p_c <=> acgam1p_c,WP_005239736_1
ACGApts,acgam_e + pep_c --> acgam6p_c + pyr_c,WP_005252856_1 or ( WP_005252852_1 and WP_005252856_1 ) or ( WP_005252854_1 and WP_005252856_1 )
ACGAptspp,acgam_p + pep_c --> acgam6p_c + pyr_c,( WP_005252852_1 and WP_005252856_1 ) or ( WP_005252854_1 and WP_005252856_1 ) or ( WP_005252852_1 and WP_005252854_1 and WP_005252856_1 ) or ( WP_005252852_1 and WP_005252856_1 and WP_005563039_1 )
ACGAtex,acgam_e <=> acgam_p,
ACGK,acglu_c + atp_c --> acg5p_c + adp_c,WP_005247368_1
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,WP_005240737_1
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,WP_005240381_1 or WP_005240383_1 or WP_005244751_1 or WP_005244775_1 or WP_005248923_1 or WP_025432927_1 or WP_025433810_1
ACKr,ac_c + atp_c <=> actp_c + adp_c,WP_005251699_1
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,WP_005244751_1 or WP_005244775_1 or WP_005248923_1 or WP_005250916_1 or WP_025432927_1 or WP_025433810_1 or ( WP_005240381_1 and WP_005240383_1 )
ACLS_a,h_c + pyr_c + thmpp_c --> co2_c + hethmpp_c,WP_025432670_1
ACLS_d,hethmpp_c + lpam_c <=> adhlam_c + thmpp_c,WP_005243580_1 or WP_025431990_1 or WP_025432670_1 or WP_226955609_1
ACLSb,2ahethmpp_c + pyr_c --> alac__S_c + thmpp_c,WP_005248923_1 or WP_226955609_1 or ( WP_005243580_1 and WP_025431990_1 )
ACM6PH,acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,
ACMANApts,acmana_e + pep_c --> acmanap_c + pyr_c,WP_005252856_1 or WP_005563039_1
ACNAMt2pp,acnam_p + h_p --> acnam_c + h_c,WP_005249307_1
ACNAMtex,acnam_e <=> acnam_p,
ACNML,acnam_c --> acmana_c + pyr_c,WP_005243568_1
ACOAD1,b2coa_c + h_c + nadh_c --> btcoa_c + nad_c,WP_005249836_1 or WP_005250612_1 or WP_005250947_1
ACOAD10f,fad_c + 2.0 h_c + hptcoa_c <=> fadh2_c + hp2coa_c,
ACOAD14f,fad_c + 2.0 h_c + poctacoa_c <=> fadh2_c + pocta2coa_c,
ACOAD15f,fad_c + 2.0 h_c + phpcoa_c <=> fadh2_c + php2coa_c,
ACOAD16f,fad_c + 2.0 h_c + phxacoa_c <=> fadh2_c + phxa2coa_c,
ACOAD17f,fad_c + 2.0 h_c + pptcoa_c <=> fadh2_c + ppt2coa_c,
ACOAD18f,fad_c + 2.0 h_c + pbcoa_c <=> fadh2_c + pb2coa_c,
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005249836_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOAD1fr,b2coa_c + fadh2_c --> btcoa_c + fad_c,WP_005250947_1
ACOAD2,h_c + hx2coa_c + nadh_c <=> hxcoa_c + nad_c,WP_005249836_1 or WP_005250947_1
ACOAD20,2.0 2mbcoa_c + o2_c --> 2.0 2mb2coa_c + 2.0 h2o_c,WP_005250612_1 or WP_005250947_1
ACOAD22f,fad_c + vacccoa_c <=> fadh2_c + vacc2coa_c,
ACOAD23f,fad_c + hdcoa_c <=> fadh2_c + hd2coa_c,
ACOAD26f,fad_c + odecoa_c <=> fadh2_c + ode2coa_c,
ACOAD27f,fad_c + hdd7coa_c <=> fadh2_c + hdd7_2_coa_c,
ACOAD28f,fad_c + tded5coa_c <=> fadh2_c + tded5_2_coa_c,
ACOAD29f,fad_c + 2.0 h_c + ptslacoa_c <=> fadh2_c + ptsla2coa_c,
ACOAD2f,fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,WP_005237893_1 or WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005249836_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOAD3,nad_c + occoa_c <=> h_c + nadh_c + oc2coa_c,WP_005249836_1 or WP_005250947_1
ACOAD30f,fad_c + h_c + hdd4coa_c <=> fadh2_c + hdd4_2_coa_c,
ACOAD31f,fad_c + lnlccoa_c <=> fadh2_c + 2.0 h_c + lnlc2coa_c,
ACOAD32f,fad_c + hd_7_10_coa_c <=> fadh2_c + hd710_2_coa_c,
ACOAD33f,fad_c + td_5_8_coa_c <=> fadh2_c + td58_2_coa_c,
ACOAD34f,dec4coa_c + fad_c + 2.0 h_c <=> dec4_2_coa_c + fadh2_c,
ACOAD3f,fad_c + occoa_c <=> fadh2_c + oc2coa_c,WP_005237893_1 or WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOAD4_1,dccoa_c + nad_c <=> dc2coa_c + h_c + nadh_c,WP_005249836_1 or WP_005250947_1
ACOAD4f,dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,WP_005237893_1 or WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005251446_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOAD5_1,ddcoa_c + nad_c <=> h_c + nadh_c + trans_dd2coa_c,WP_005249836_1 or WP_005250947_1
ACOAD5f,ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,WP_005237893_1 or WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005251446_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOAD6,nad_c + tdcoa_c <=> h_c + nadh_c + td2coa_c,WP_005249836_1 or WP_005250947_1
ACOAD6f,fad_c + tdcoa_c <=> fadh2_c + td2coa_c,WP_005237893_1 or WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005251446_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOAD7,nad_c + pmtcoa_c <=> h_c + hdd2coa_c + nadh_c,WP_005249836_1 or WP_005250947_1
ACOAD7f,fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOAD8f,fad_c + stcoa_c <=> fadh2_c + od2coa_c,WP_005244614_1 or WP_005248557_1 or WP_005249166_1 or WP_005252230_1 or WP_025432172_1 or WP_025433422_1
ACOADH1,2mbcoa_c + fad_c --> 2mb2coa_c + fadh2_c,WP_005240205_1
ACOADH2,2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c,WP_005250612_1 or WP_005250947_1
ACOAM,ac_c + atp_c --> acadl_c + ppi_c,WP_025432750_1
ACODA,acorn_c + h2o_c --> ac_c + orn_c,WP_005239923_1 or WP_005243094_1 or WP_025433253_1
ACONCt4pp,acon_C_p + na1_p --> acon_C_c + na1_c,WP_005240628_1 and WP_005250720_1
ACONCtex,acon_C_e <=> acon_C_p,
ACONCtupp,acon_C_p --> acon_C_c,WP_005240628_1 and WP_005250720_1
ACONT,cit_c <=> icit_c,WP_005241829_1
ACONTa,cit_c <=> acon_C_c + h2o_c,WP_005251340_1
ACONTb,acon_C_c + h2o_c <=> icit_c,WP_005251340_1
ACOTA,acorn_c + akg_c <=> acg5sa_c + glu__L_c,WP_005244800_1 or WP_005247366_1
ACOXT,accoa_c + oxa_c <=> ac_c + oxalcoa_c,WP_005244615_1
ACP1_FMN,fmn_c + h2o_c --> pi_c + ribflv_c,WP_005247810_1
ACPPAT120,ddcaACP_c + h_c + pi_c --> ACP_c + ddcap_c,WP_005238830_1 or WP_005247839_1
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,WP_005238830_1 or WP_005247839_1
ACPPAT160,h_c + palmACP_c + pi_c --> ACP_c + hdcap_c,WP_005238830_1 or WP_005247839_1
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,WP_005238830_1 or WP_005247839_1
ACPPAT180,h_c + ocdcaACP_c + pi_c --> ACP_c + ocdcap_c,WP_005238830_1 or WP_005247839_1
ACPPAT181,h_c + octeACP_c + pi_c --> ACP_c + ocdceap_c,WP_005238830_1 or WP_005247839_1
ACPS1,apoACP_c + coa_c --> ACP_c + h_c + pap_c,WP_005248288_1 or WP_025432138_1 or WP_025432372_1
ACPS1_1,apoACP_c + coa_c --> ACP_c + h_c + pap_c,WP_005247839_1
ACPpds,ACP_c + h2o_c --> apoACP_c + h_c + pan4p_c,
ACS,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,WP_005239563_1 or WP_005240572_1 or WP_005248479_1 or WP_005250868_1 or WP_025432763_1
ACS2,atp_c + coa_c + ppa_c --> amp_c + ppcoa_c + ppi_c,WP_005239563_1 or WP_005248479_1 or WP_080578205_1
ACSPHAC100,R_3hdcaa_c + atp_c + coa_c --> R_3hdcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC101,R3hdec4e_c + atp_c + coa_c --> R3hdec4coa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC120,R_3hdda_c + atp_c + coa_c --> R_3hddcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC121,R_3hdd5ea_c + atp_c + coa_c --> R_3hcddec5ecoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC121d6,R_3hdd6e_c + atp_c + coa_c --> R_3hdd6coa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC140,R_3httdca_c + atp_c + coa_c --> R_3hmrscoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC141,R_3hcmrs7e_c + atp_c + coa_c --> R_3hcmrs7ecoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC141d5,R_3htd5e_c + atp_c + coa_c --> R_3htd5coa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC142,R_3htd58e_c + atp_c + coa_c --> R_3htd58coa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC160,R_3hhdca_c + atp_c + coa_c --> R_3hhdcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC40,atp_c + bhb_c + coa_c --> 3hbcoa__R_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC50,R_3hpt_c + atp_c + coa_c --> R_3hptcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC60,R_3hhxa_c + atp_c + coa_c --> R_3hhcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC70,R_3hhpa_c + atp_c + coa_c --> R_3hhpcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC80,R_3hocta_c + atp_c + coa_c --> R_3hocoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHAC90,R_3hnonaa_c + atp_c + coa_c --> R_3hnonacoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACP100,R_3hpdeca_c + atp_c + coa_c --> R_3hpdecacoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACP40,R_3hpba_c + atp_c + coa_c --> R_3hpbcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACP50,R_3hppta_c + atp_c + coa_c --> R_3hpptcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACP60,R_3hphxa_c + atp_c + coa_c --> R_3hphxacoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACP70,R_3hphpa_c + atp_c + coa_c --> R_3hphpcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACP80,R_3hpocta_c + atp_c + coa_c --> R_3hpoctacoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACP90,R_3hpnona_c + atp_c + coa_c --> R_3hpnonacoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACT40,R_3h4atba_c + atp_c + coa_c --> R_3h4atbcoa_c + amp_c + ppi_c,WP_005250931_1
ACSPHACT60,R_3h6atha_c + atp_c + coa_c --> R_3h6athcoa_c + amp_c + ppi_c,WP_005250931_1
ACTD,actn__R_c + nad_c --> diact_c + h_c + nadh_c,WP_005243585_1 or WP_005250127_1 or WP_005250876_1
ACTD2,actn__R_c + coa_c + nad_c --> acald_c + accoa_c + h_c + nadh_c,WP_005245694_1 or WP_025431769_1 or ( WP_025432402_1 and WP_025432574_1 )
ACTD_1,diact_c + h_c + nadh_c --> actn__R_c + nad_c,WP_005245668_1
ACTDa,actn__R_c + nadp_c --> diact_c + h_c + nadph_c,WP_005243585_1 or WP_005250876_1
ACTNabc,actn__R_e + atp_c + h2o_c --> actn__R_c + adp_c + h_c + pi_c,WP_005239421_1 or ( WP_005239423_1 and WP_005239455_1 and WP_005248932_1 )
