,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-H-R4,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
2AGPGAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2DHGLCK,24.903041991564496,17.8166449391091,23.299603862679806,0,0,0,16.853008136956902,14.237827038152599,13.4350348572855,6.7765765784679015,5.548867667728518,6.0102438934584494,0,0,0,9.659007049104481,10.9400448497775,14.846513999056402,5.3280742004143,5.226992183485138,5.87844783203828,16.227105548193098,19.8946771562117,21.6031406813388,0,0,0,15.5229947595436,15.484703616545902,14.7292560773618,8.82501589719532,11.2354043196964,16.8844741159828,13.142176453624101,0,0,0,18.988517884973,16.698313594029802,20.7240397645322,16.124412747200402,14.867954701740901,17.5326801888197
2DHGLCNkt_tpp,8.84586819777582,6.03584297937166,6.034429777384701,0,0,0,13.588289283200801,14.329095160192,11.260578348591899,20.3297297354037,22.265709502151108,18.0307316803754,0,0,0,7.85817522639009,5.00992708073925,8.15404395803098,11.238906516498899,9.292430548418027,9.465297356671801,6.467324675004492,7.59386730568331,7.86212660861838,0,0,0,13.883920778722201,6.48374289362758,8.54296852486984,18.8871835556797,10.3659980330533,11.2981611185015,8.82146090722715,0,0,0,19.515976715111197,36.692346976355,59.10643293789639,14.4529797185272,12.5025982719185,9.156743904282347
2HH24DDH,1.53841186048275,1.09081499627199,1.17336134560258,0,0,0,2.47059805149106,1.46028995263103,1.00956909332203,3.2856128865298904,2.3178814308233,3.620628851481,0,0,0,0.818559919415634,0.7157038686770358,1.30772403100497,1.99802782515536,1.16155381855225,1.39488592624637,1.35225879568276,2.13381395366308,1.62908929728129,0,0,0,3.37456407816164,1.7544245476874598,1.94426180221176,7.17548021547657,1.27067072663234,1.25535123538906,1.98032795876528,0,0,0,2.9010235657597705,2.19714652553024,2.82043144724402,1.76975261859516,1.94297135306842,2.2004578374632
2HH24DDH1,1.53841186048275,1.09081499627199,1.17336134560258,0,0,0,2.47059805149106,1.46028995263103,1.00956909332203,3.2856128865298904,2.3178814308233,3.620628851481,0,0,0,0.818559919415634,0.7157038686770358,1.30772403100497,1.99802782515536,1.16155381855225,1.39488592624637,1.35225879568276,2.13381395366308,1.62908929728129,0,0,0,3.37456407816164,1.7544245476874598,1.94426180221176,7.17548021547657,1.27067072663234,1.25535123538906,1.98032795876528,0,0,0,2.9010235657597705,2.19714652553024,2.82043144724402,1.76975261859516,1.94297135306842,2.2004578374632
3_4DHBZ1t_pp,1.82686408432327,1.6725829942837098,2.01147659246157,0,0,0,2.11765547270662,4.3808698578931,2.56275231381746,2.56688506760148,1.96668727463796,2.46202761900708,0,0,0,1.96454380659752,1.43140773735407,1.23079908800468,1.66502318762947,1.23415093221177,1.49452063526397,1.58743423841019,1.88277701793801,1.4874293583872602,0,0,0,2.02473844689699,1.37302790688584,3.35827038563849,7.58786413590626,2.27383182660523,2.82454027962538,2.6104323092815,0,0,0,1.23073727032233,2.0872891992537297,5.15035307757604,3.44118564726838,2.36535642982242,3.12323047898003
34HPPOR,85.4780089980729,43.850762850133826,55.48322934206486,0,0,0,990.0921691350419,61.69725049866121,603.1010445183763,700.5542726497948,477.9752465682606,437.8064407210819,0,0,0,10.31385498463699,11.75799212826557,6.61554509802513,20.313282889079563,15.17279675483885,17.436074078079624,25.398947814563122,25.10369357250685,28.190327839910918,0,0,0,20.05455223593201,14.95074831942356,19.26586694918927,62.43492555305477,13.30860392630709,14.37377164520474,12.061997567024878,0,0,0,22.153270865801833,25.2671850435978,19.375137768024118,9.93027858211731,9.54590273464049,8.80183134985281
3AMACHYD,149.80285491450837,150.9687954840426,166.5334995508808,0,0,0,163.7653565559788,157.5287786400732,183.9745524676843,269.6256075008588,289.10302937177903,247.795838595359,0,0,0,162.07486404429548,192.1153670348788,188.3891854077159,170.9146302101652,199.20647988171208,168.1833888217052,191.6679858228601,143.7186457026019,170.1335866117239,0,0,0,159.9543373048623,180.4006110991677,163.67149353164473,179.71691252325797,190.2662219615256,147.6920728435223,163.2870416909187,0,0,0,263.28986604395493,245.531124228005,223.30459414918937,118.18014708618819,112.26995340121421,137.06722852069208
3HBCOAHL,204.70492818548593,235.97964419350606,221.76529431888733,0,0,0,178.50070922022894,202.25015843939806,134.1950302508053,85.52861045248125,68.55309928738016,73.64359083912345,0,0,0,257.35523866427513,249.3716765290411,256.3139100769741,132.45259457592414,130.6022074734692,201.36174692456535,156.33287555306336,269.5509097347923,194.64075604039044,0,0,0,210.37996624424864,141.87955037820393,172.98038337253678,106.80743539128912,151.47732609590705,196.4624683383878,179.93979952599025,0,0,0,80.17374218099722,88.65486230514524,82.28302178698864,111.10113661180765,120.21079284418983,145.72709484877265
3HCINNMH,0.288452223840516,0.727209997514657,0.712397959830138,0,0,0,1.14706338104942,1.55155807467047,1.39786489844589,1.84815724867306,1.19406013103019,0.8689509243554391,0,0,0,0.818559919415634,1.12467750792106,1.15387414500438,1.6650231876294699,1.01635959123322,2.19196359838715,0.881907910227885,1.00414774290027,1.2041094805992099,0,0,0,1.15699339822685,1.06791059424454,0.82483834033226,0.9072446249453141,1.0031610999729,0.43937293238617,0.9901639793826391,0,0,0,0.439549025115117,0.769001283935585,1.4715294507360102,2.26135056820493,1.6050632916652199,1.8455452830336498
3HOXPACt2pp,56.1520329076204,55.63156480987129,72.9160264767318,0,0,0,53.1178581070578,40.431778063471796,59.409258183950286,53.596560211518906,45.374284979147134,57.205935853399694,0,0,0,37.6537562931192,46.2140212345743,44.46261705416893,27.13987795836029,25.844572462787635,34.77251344714171,57.676777328903704,56.043995900621496,48.0227192850744,0,0,0,58.428166610455904,50.8783118829365,59.68294562547,55.589352473921906,38.8557732722835,41.30105564429999,44.0172896289191,0,0,0,48.1745731526167,43.613358531775305,43.900628613624306,31.855547134712893,32.8615589714615,40.74396124851221
