,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
2AGPGAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2DHGLCK,25.1329229766145,17.714696631270893,23.537063396650897,0,0,0,17.228185140181502,14.115678218104902,13.9680780595099,6.74661494014907,5.51616843301624,6.005278538261219,0,0,0,9.38820706355779,10.639197344447199,14.5135093267194,5.37271373376662,5.1672309721222405,5.72580673450665,16.508575260511,19.7720878083407,21.9504572000068,0,0,0,15.8548379740616,15.8871701702815,15.145172418994699,13.019944258018901,11.099316720088598,16.5587447386966,0,0,0,18.906304213347607,16.4109627366295,20.6512260481785,15.707388062181199,14.907196600160198,17.5999543072101
2DHGLCNkt_tpp,8.927524763893961,6.00130538936934,6.095930088341238,0,0,0,13.8907880187851,14.2061633348876,11.707348662595,20.2398448204472,22.134498648938603,18.0158356147837,0,0,0,7.637863373741928,4.87215579325151,7.971150200167121,11.333068032163998,9.186188394883981,9.21951931827342,6.57950463281237,7.547074526212079,7.98852704655986,0,0,0,14.180724647607901,6.65226337179275,8.78420000301695,8.73941463894418,10.240441021510401,11.0802009403918,0,0,0,19.431479330385105,36.0609312765411,58.898763048651,14.079183202077001,12.535597141043803,9.191878970162367
2HH24DDH,1.55261300241634,1.08457326313904,1.18531973939969,0,0,0,2.52559782159729,1.4477618685235802,1.04962436285334,3.2710860315874304,2.30422225682957,3.61763767365134,0,0,0,0.7956107680981178,0.6960222561787871,1.27839201323435,2.01476765016248,1.1482735493605,1.35866600479819,1.37571460504259,2.12066556934885,1.65528037901691,0,0,0,3.4467039074047,1.8000242064851002,1.99916275930731,1.96190940874257,1.2552798671528798,1.23113343782131,0,0,0,2.88846314370589,2.15933720218809,2.81052188821364,1.72398161658086,1.94809955570275,2.20890114786848
2HH24DDH1,1.55261300241634,1.08457326313904,1.18531973939969,0,0,0,2.52559782159729,1.4477618685235802,1.04962436285334,3.2710860315874304,2.30422225682957,3.61763767365134,0,0,0,0.7956107680981178,0.6960222561787871,1.27839201323435,2.01476765016248,1.1482735493605,1.35866600479819,1.37571460504259,2.12066556934885,1.65528037901691,0,0,0,3.4467039074047,1.8000242064851002,1.99916275930731,1.96190940874257,1.2552798671528798,1.23113343782131,0,0,0,2.88846314370589,2.15933720218809,2.81052188821364,1.72398161658086,1.94809955570275,2.20890114786848
3_4DHBZ1t_pp,1.84372794036941,1.66301233681319,2.03197669611375,0,0,0,2.16479813279767,4.34328560557073,2.66443107493541,2.55553596217768,1.9550976724614504,2.45999361808291,0,0,0,1.90946584343548,1.39204451235757,1.20319248304409,1.67897304180207,1.22004064619553,1.4557135765694902,1.61496931896304,1.8711755023666297,1.51134295475457,0,0,0,2.06802234444282,1.4087145963796397,3.4530993115308,2.5861533115243,2.2462902885893703,2.77005023509794,0,0,0,1.22540860642068,2.05137034207868,5.13225736108578,3.352186476685,2.37159945911639,3.13521453245848
34HPPOR,86.26705994675802,43.599845178189256,56.048690534470886,0,0,0,1012.1333270051134,61.16793894512119,627.0294463014675,697.4568747975326,475.15855932500625,437.4447474979193,0,0,0,10.02469567803628,11.434651351508691,6.467159596362,20.4834711099852,14.999323238521479,16.983325059977368,25.8395091034086,24.949006698221698,28.64354742820564,0,0,0,20.48326893543366,15.3393367161339,19.809885524045132,11.949811853250198,13.14740492439071,14.09647786305397,0,0,0,22.057354915572258,24.832377825163007,19.30706340598937,9.67345240414815,9.57109781714831,8.835604591473901
