Line Name,Measurement Type,Time,Value,Units
WT-P-R2,"Pd630_LPD00001	",24,61.06588033,RPKM
WT-P-R2,"Pd630_LPD00002	",24,87.83718058,RPKM
WT-P-R2,"Pd630_LPD00003	",24,91.91535548,RPKM
WT-P-R2,"Pd630_LPD00004	",24,12.18682533,RPKM
WT-P-R2,"Pd630_LPD00005	",24,30.23471829,RPKM
WT-P-R2,"Pd630_LPD00006	",24,6.407946372,RPKM
WT-P-R2,"Pd630_LPD00007	",24,3.696576127,RPKM
WT-P-R2,"Pd630_LPD00008	",24,4.045578033,RPKM
WT-P-R2,"Pd630_LPD00009	",24,348.5381978,RPKM
WT-P-R2,"Pd630_LPD00011	",24,20.78432958,RPKM
WT-P-R2,"Pd630_LPD00012	",24,48.18086171,RPKM
WT-P-R2,"Pd630_LPD00013	",24,33.09174949,RPKM
WT-P-R2,"Pd630_LPD00014	",24,36.70336013,RPKM
WT-P-R2,"Pd630_LPD00015	",24,23.9333773,RPKM
WT-P-R2,"Pd630_LPD00016	",24,338.3066392,RPKM
WT-P-R2,"Pd630_LPD00017	",24,204.7187416,RPKM
WT-P-R2,"Pd630_LPD00018	",24,62.74290617,RPKM
WT-P-R2,"Pd630_LPD00019	",24,94.41456454,RPKM
WT-P-R2,"Pd630_LPD00020	",24,6.073217863,RPKM
WT-P-R2,"Pd630_LPD00021	",24,64.99165207,RPKM
WT-P-R2,"Pd630_LPD00022	",24,33.26336413,RPKM
WT-P-R2,"Pd630_LPD00023	",24,114.1908626,RPKM
WT-P-R2,"Pd630_LPD00024	",24,782.481617,RPKM
WT-P-R2,"Pd630_LPD00025	",24,738.9748867,RPKM
WT-P-R2,"Pd630_LPD00026	",24,94.25726743,RPKM
WT-P-R2,"Pd630_LPD00027	",24,28.507076,RPKM
WT-P-R2,"Pd630_LPD00028	",24,270.5204475,RPKM
WT-P-R2,"Pd630_LPD00029	",24,50.74683952,RPKM
WT-P-R2,"Pd630_LPD00030	",24,61.82888663,RPKM
WT-P-R2,"Pd630_LPD00031	",24,97.73990104,RPKM
WT-P-R2,"Pd630_LPD00032	",24,58.83659851,RPKM
WT-P-R2,"Pd630_LPD00033	",24,35.40098283,RPKM
WT-P-R2,"Pd630_LPD00034	",24,55.17612344,RPKM
WT-P-R2,"Pd630_LPD00035	",24,64.70306534,RPKM
WT-P-R2,"Pd630_LPD00036	",24,91.67946837,RPKM
WT-P-R2,"Pd630_LPD00037	",24,291.0309269,RPKM
WT-P-R2,"Pd630_LPD00039	",24,38.28245818,RPKM
WT-P-R2,"Pd630_LPD00040	",24,10.23245191,RPKM
WT-P-R2,"Pd630_LPD00041	",24,274.5512356,RPKM
WT-P-R2,"Pd630_LPD00042	",24,51.52770429,RPKM
WT-P-R2,"Pd630_LPD00043	",24,33.32278749,RPKM
WT-P-R2,"Pd630_LPD00044	",24,35.88225588,RPKM
WT-P-R2,"Pd630_LPD00045	",24,28.13924277,RPKM
WT-P-R2,"Pd630_LPD00046	",24,9.266397165,RPKM
WT-P-R2,"Pd630_LPD00047	",24,14.78020832,RPKM
WT-P-R2,"Pd630_LPD00049	",24,3.297567512,RPKM
WT-P-R2,"Pd630_LPD00050	",24,1.388034397,RPKM
WT-P-R2,"Pd630_LPD00051	",24,1.274599847,RPKM
WT-P-R2,"Pd630_LPD00052	",24,3.795909581,RPKM
WT-P-R2,"Pd630_LPD00053	",24,7.07325228,RPKM
WT-P-R2,"Pd630_LPD00054	",24,66.00699086,RPKM
WT-P-R2,"Pd630_LPD00055	",24,88.72000922,RPKM
WT-P-R2,"Pd630_LPD00056	",24,1873.42775,RPKM
WT-P-R2,"Pd630_LPD00057	",24,116.68406,RPKM
WT-P-R2,"Pd630_LPD00058	",24,8.74598086,RPKM
WT-P-R2,"Pd630_LPD00059	",24,22.43534221,RPKM
WT-P-R2,"Pd630_LPD00060	",24,22.20990233,RPKM
WT-P-R2,"Pd630_LPD00061	",24,98.06944013,RPKM
WT-P-R2,"Pd630_LPD00062	",24,65.43221511,RPKM
WT-P-R2,"Pd630_LPD00063	",24,756.8882034,RPKM
WT-P-R2,"Pd630_LPD00064	",24,234.5756089,RPKM
WT-P-R2,"Pd630_LPD00065	",24,56.81277495,RPKM
