,GeneID
WP_005250050_1,491392187
WP_025433158_1,645061880
WP_005250991_1,491393129
WP_005243452_1,491385571
WP_005239591_1,491381709
WP_005241094_1,491383213
WP_005244585_1,491386706
WP_037182429_1,739319945
WP_005250047_1,491392184
WP_005252419_1,491394557
WP_005239950_1,491382068
WP_005245755_1,491387881
WP_005245403_1,491387529
WP_025433420_1,645062142
WP_025433273_1,645061995
WP_005250837_1,491392975
WP_005244835_1,491386958
WP_025433272_1,645061994
WP_005244837_1,491386960
WP_005242785_1,491384904
WP_037182698_1,739320216
WP_025431921_1,645060643
WP_005244400_1,491386519
WP_025433212_1,645061934
WP_005247916_1,491390043
WP_025431587_1,645060309
WP_005251354_1,491393492
WP_005248734_1,491390863
WP_005252082_1,491394220
WP_005563989_1,491723574
WP_005248200_1,491390327
WP_005247736_1,491389863
WP_005247709_1,491389836
WP_005247495_1,491389622
WP_005246579_1,491388706
WP_005240964_1,491383083
WP_005244958_1,491387081
WP_005249247_1,491391381
WP_011598391_1,499917657
WP_005240942_1,491383061
WP_005252720_1,491394858
WP_005241223_1,491383342
WP_025432120_1,645060842
WP_005243476_1,491385595
WP_025433359_1,645062081
WP_005248812_1,491390942
WP_005245401_1,491387527
WP_005244703_1,491386825
WP_025431793_1,645060515
WP_005239871_1,491381989
WP_005252423_1,491394561
WP_005238720_1,491380838
WP_005239717_1,491381835
WP_005244250_1,491386369
WP_025433429_1,645062151
WP_005247355_1,491389482
WP_005247359_1,491389486
WP_025432117_1,645060839
WP_005247430_1,491389557
WP_005249622_1,491391758
WP_005240751_1,491382870
WP_179443303_1,1869557860
WP_005255435_1,491397588
WP_005245037_1,491387161
WP_164709508_1,1818410436
WP_005249629_1,491391765
WP_005247432_1,491389559
WP_025432387_1,645061109
WP_005242885_1,491385004
WP_005240049_1,491382167
WP_025433612_1,645062334
WP_025433626_1,645062348
WP_025433611_1,645062333
WP_005239926_1,491382044
WP_005248516_1,491390644
WP_005244922_1,491387045
WP_025432017_1,645060739
WP_005245583_1,491387709
WP_005247722_1,491389849
WP_005244070_1,491386189
WP_005244919_1,491387042
WP_005249897_1,491392033
WP_025432904_1,645061626
WP_005262154_1,491404314
WP_025432522_1,645061244
WP_005248517_1,491390645
WP_005247538_1,491389665
WP_025432018_1,645060740
WP_025431778_1,645060500
WP_025431758_1,645060480
WP_005244454_1,491386574
WP_005250042_1,491392179
WP_005238257_1,491380374
WP_005251655_1,491393793
WP_025433433_1,645062155
WP_005251008_1,491393146
WP_005252416_1,491394554
WP_025433399_1,645062121
WP_005238721_1,491380839
WP_005249896_1,491392032
WP_005243011_1,491385130
WP_005246796_1,491388923
WP_005252955_1,491395094
WP_005250455_1,491392592
WP_025433347_1,645062069
WP_005248551_1,491390679
WP_005242102_1,491384221
WP_005252291_1,491394429
WP_005250470_1,491392607
WP_005247533_1,491389660
WP_005240266_1,491382384
WP_005238688_1,491380805
WP_037179130_1,739316637
WP_005252904_1,491395042
WP_143767471_1,1712609315
WP_005252717_1,491394855
WP_005247552_1,491389679
WP_025432639_1,645061361
WP_005244169_1,491386288
WP_005246633_1,491388760
WP_025433455_1,645062177
WP_005244194_1,491386313
WP_025432411_1,645061133
WP_005244176_1,491386295
WP_005244174_1,491386293
WP_005240904_1,491383023
WP_005250729_1,491392866
WP_005240905_1,491383024
WP_143767463_1,1712609307
WP_005252777_1,491394915
WP_005242735_1,491384854
WP_025432312_1,645061034
WP_005250462_1,491392599
WP_005245655_1,491387781
WP_025433214_1,645061936
WP_005251372_1,491393510
WP_005251368_1,491393506
WP_005251370_1,491393508
WP_005245621_1,491387747
WP_025432003_1,645060725
WP_005251366_1,491393504
WP_005250197_1,491392334
WP_025432662_1,645061384
WP_085990806_1,1194662122
WP_005239602_1,491381720
