,growth rate,yield coefficient,substrate consumption rate,growth rate std dev,yield coefficient std dev,substrate consumption rate std dev
WT-P,0.06548818848698068,0.04886847654278544,1.3520722607432194,0.0013454194885387388,0.0048364137024806495,0.12227895946240716
PVHG-P,0.08033139167342719,0.040847535534103856,1.9674849452211796,0.002671787397479448,0.00175702712202129,0.021784517155022533
WT-G,0.26019474164552475,0.07278908209726054,3.5824709208160677,0.004748917187790222,0.004117380738351327,0.14167526717223028
