,growth rate,yield coefficient,substrate consumption rate,growth rate std dev,yield coefficient std dev,substrate consumption rate std dev,FBA growth rate,pFBA growth rate,FBA yield coefficient,pFBA yield coefficient
WT-P,0.06548818848698068,0.048868476542785436,1.3520722607432194,0.0013454194885387386,0.00483641370248065,0.12227895946240715,0.15278812242970158,0.15278812242970158,0.11300292659337276,0.11300292659337276
PVHG-P,0.08033139167342719,0.040847535534103856,1.96748494522118,0.002671787397479448,0.00175702712202129,0.021784517155022533,0.22233155683839503,0.22233155683839503,0.11300292659337276,0.11300292659337276
WT-G,0.26019474164552475,0.07278908209726054,3.582470920816068,0.004748917187790222,0.0041173807383513275,0.14167526717223028,0.48437893365729956,0.48437893365729956,0.13520805733350114,0.13520805733350114
