,growth rate,yield coefficient,substrate consumption rate,growth rate std dev,yield coefficient std dev,substrate consumption rate std dev,E-Flux2 growth rate,E-Flux2 growth std
WT-P,0.06548818848698068,0.048868476542785436,1.3520722607432194,0.0013454194885387384,0.00483641370248065,0.12227895946240715,0.09014976131806017,0.03561239085659037
PVHG-P,0.08033139167342719,0.040847535534103856,1.96748494522118,0.002671787397479448,0.00175702712202129,0.021784517155022533,0.13720340560250902,0.0075488482264843785
WT-G,0.26019474164552475,0.07278908209726054,3.5824709208160685,0.004748917187790222,0.004117380738351328,0.14167526717223028,0.4534549555632512,0.0006310091785275651
