,growth rate,yield coefficient,substrate consumption rate,growth rate std dev,yield coefficient std dev,substrate consumption rate std dev,SPOT growth rate,SPOT growth std
WT-P,0.06548818848698068,0.048868476542785436,1.3520722607432194,0.0013454194885387338,0.004836413702480643,0.12227895946240724,-2.0561575390411868e-10,9.310437357103768e-11
PVHG-P,0.08033139167342719,0.040847535534103856,1.96748494522118,0.002671787397479448,0.00175702712202129,0.021784517155022533,-4.656398277336144e-10,3.9501035444841264e-10
WT-G,0.2601947416455247,0.07278908209726052,3.5824709208160685,0.0047489171877901975,0.004117380738351307,0.14167526717222986,-2.4178768185960723e-10,1.3853072875452295e-10
