,growth rate,yield coefficient,substrate consumption rate,growth rate std dev,yield coefficient std dev,substrate consumption rate std dev,E-Flux2 growth rate,E-Flux2 growth std
WT-P,0.06548818848698068,0.048868476542785436,1.3520722607432194,0.0013454194885387384,0.00483641370248065,0.12227895946240715,0.09308540843626474,0.042294042873670896
PVHG-P,0.08033139167342719,0.040847535534103856,1.96748494522118,0.002671787397479448,0.00175702712202129,0.021784517155022533,0.19937816294116634,0.016792830441032854
WT-G,0.26019474164552475,0.07278908209726054,3.5824709208160685,0.004748917187790222,0.004117380738351328,0.14167526717223028,0.4266813228691147,0.02761554907036085
